,mean_acc,std_acc,oracle_acc,worst_acc,acc_range
stan1318,0.36570247395707717,0.08542651430121724,0.4442877291960507,0.0385519511048425,0.4057357780912082
kore1280,0.44538404644404306,0.07490639257060425,0.5060240963855421,0.1223750905141202,0.3836490058714219
ukra1253,0.31843711616150855,0.0640738909229378,0.5136921624173749,0.1570593149540518,0.35663284746332313
poli1260,0.4167848203099579,0.059287017519235645,0.5773857257417803,0.255591054313099,0.3217946714286813
west2369,0.35130721737649184,0.06014606948199697,0.4279329608938547,0.1101431238332296,0.3177898370606251
russ1263,0.33353135828220254,0.059784116256070545,0.4803063457330416,0.1636971046770601,0.3166092410559815
wels1247,0.3127873633386077,0.054137293516491505,0.4445214979195562,0.1291079812206572,0.315413516698899
slov1268,0.2824203330712155,0.05586040412786786,0.4603047313552526,0.151294498381877,0.3090102329733756
nucl1235,0.29860064162576583,0.04891464821910985,0.4086905460951262,0.1061320754716981,0.30255847062342806
mand1415,0.2867681535599287,0.05858863964189304,0.3446771378708551,0.0575783234546994,0.2870988144161557
komi1268,0.33783297682405294,0.08062924976324015,0.4639718804920913,0.1862917398945518,0.27768014059753954
iris1253,0.30251026585011853,0.042364489041311106,0.3928398645379777,0.1313320825515947,0.261507781986383
czec1258,0.23000425313367678,0.06151420494792955,0.3982056590752243,0.1408268733850129,0.25737878569021144
bela1254,0.30660112586092875,0.04861028719418074,0.4326923076923077,0.1772908366533864,0.2554014710389213
telu1262,0.39585378032611873,0.07128366664495357,0.497907949790795,0.2426778242677824,0.2552301255230126
stan1289,0.2211756619819975,0.04079053351953485,0.3595567867036011,0.1069252077562326,0.2526315789473685
faro1244,0.16525542606979893,0.05709946617304137,0.3500363108206245,0.0998427672955974,0.2501935435250271
dani1285,0.23730529325631533,0.04927848128680887,0.380071599045346,0.1388888888888889,0.2411827101564571
lith1251,0.35144617430762004,0.052628627414770174,0.4577922077922078,0.2213855421686747,0.2364066656235331
swed1254,0.3369539460926895,0.045582522028568336,0.44,0.2059336823734729,0.2340663176265271
latv1249,0.3174968957227021,0.05110456528690974,0.4332514332514332,0.2104454685099846,0.22280596474144862
port1283,0.2515625670344428,0.04183671249724052,0.3653631284916201,0.153072625698324,0.21229050279329612
nucl1643,0.2331898798168063,0.04287185318296202,0.2797752808988764,0.0696304231387252,0.21014485776015118
dutc1256,0.24347206237869862,0.034638811318191354,0.3567593948267447,0.1516279069767442,0.2051314878500005
stan1290,0.22152943982804446,0.04111987039438124,0.3208204334365325,0.1271262309758281,0.1936942024607044
hung1274,0.28740177208252315,0.043472908076975736,0.361439588688946,0.1695431472081218,0.1918964414808242
icel1247,0.25962468149094653,0.03918454091627243,0.3333333333333333,0.1435705368289637,0.1897627965043696
mara1378,0.2876213592233009,0.0566787851212116,0.3737864077669903,0.1844660194174757,0.1893203883495146
mode1248,0.2569802464590881,0.04357825544342641,0.3193069306930693,0.1301369863013698,0.1891699443916995
ital1282,0.2408914745439156,0.041984307119405026,0.3346322454943984,0.150887573964497,0.1837446715299014
finn1318,0.29286216596343173,0.04525186279952364,0.370604781997187,0.1882716049382716,0.18233317705891539
hind1269,0.23688209570263216,0.03378364530955732,0.306832298136646,0.1289490651192779,0.17788323301736808
nucl1301,0.3876777810323504,0.04665735547019149,0.4629629629629629,0.2981481481481481,0.1648148148148148
hebr1245,0.2545192710604855,0.03568378430922757,0.3119457485654668,0.1486338797814207,0.1633118687840461
nort2671,0.3196770031305525,0.042465156655515604,0.3841554559043348,0.2227204783258595,0.1614349775784753
stan1293,0.21276418582823062,0.03434324794547701,0.2833787465940054,0.1280623608017817,0.1553163857922237
copt1239,0.1451898465971692,0.025582051825236245,0.1935926773455377,0.0535469107551487,0.140045766590389
viet1252,0.2828258441806087,0.03623665629679622,0.3558406482106684,0.21875,0.1370906482106684
nucl1347,0.2476801332460358,0.03668017687417089,0.3099331423113658,0.1842751842751842,0.12565795803618163
tami1289,0.3051297586472557,0.03357668338896552,0.35,0.2255990648743425,0.12440093512565747
malt1254,0.24805893742001112,0.026277550903949988,0.3024754153950492,0.1854866056290268,0.11698880976602238
