,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.579549718574109,0.417948717948718,0.14436855267271026,0.0,1.0,0.708974358974359,40.0,0.8556314473272898,0.8859323697680352,0.8671737700624492,-0.5,3.0,0.49718574108818014
copt1239,-0.4386491557223265,-0.2923076923076923,0.31451005046356867,0.0,0.0,0.35384615384615387,40.0,0.6854899495364314,0.6674246489296083,0.7012062865514589,-0.5304347826086956,24.0,-0.4356472795497186
czec1258,0.31444652908067544,0.21025641025641026,0.20277777777777772,0.0,1.0,0.6051282051282051,40.0,0.7972222222222223,0.9274167971776297,0.8887839955307815,0.36695652173913035,24.0,0.3150093808630395
dani1285,0.15515947467166982,0.11282051282051282,0.0,1.0,1.0,0.5564102564102564,40.0,1.0,0.8279680416123741,0.8151608265959687,-0.11478260869565216,24.0,0.16566604127579737
dutc1256,0.0703564727954972,0.04102564102564103,0.4011805711129983,0.0,0.0,0.5205128205128206,40.0,0.5988194288870017,0.6015324438955761,0.6164238667647768,-0.22608695652173913,24.0,0.08818011257035648
faro1244,-0.41482176360225154,-0.28974358974358977,0.48930232558139536,0.0,0.0,0.35512820512820514,40.0,0.5106976744186046,0.5550841470997038,0.5828656548457158,-0.4460869565217391,24.0,-0.22720450281425897
finn1318,0.4000000000000001,0.26153846153846155,0.3092270274378658,0.0,0.0,0.6307692307692307,40.0,0.6907729725621342,0.7311365457072663,0.7601896261755811,0.3808695652173913,24.0,0.3960600375234522
hebr1245,-0.34465290806754223,-0.2435897435897436,0.6671679197994989,0.0,0.0,0.3782051282051282,40.0,0.33283208020050115,0.5671568610664632,0.5869806975053411,,0.0,-0.3748592870544091
hind1269,0.38986866791744845,0.2641025641025641,0.3921971535745808,0.0,0.0,0.632051282051282,40.0,0.6078028464254192,0.7008095925284542,0.7372405841638021,,1.0,0.40731707317073174
hung1274,0.5431519699812384,0.37948717948717947,0.22174393142557702,0.0,1.0,0.6897435897435897,40.0,0.778256068574423,0.8574455572476956,0.8693450952029619,0.44260869565217387,24.0,0.5452157598499062
icel1247,-0.10469043151969983,-0.08974358974358974,0.06427748389462101,0.0,1.0,0.4551282051282051,40.0,0.935722516105379,0.7807715824974024,0.7466663298272426,-0.13217391304347825,24.0,0.030581613508442785
iris1253,-0.0900562851782364,-0.06153846153846154,0.47134733965956516,0.0,0.0,0.46923076923076923,40.0,0.5286526603404349,0.5451235470041735,0.6171500977088921,-0.23217391304347823,24.0,-0.010318949343339589
ital1282,0.16454033771106943,0.11282051282051282,0.3203680382430801,0.0,0.0,0.5564102564102564,40.0,0.67963196175692,0.7127405061772445,0.7651282017542803,0.07652173913043478,24.0,0.1851782363977486
