,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.5249530956848031,0.3512820512820513,0.2281935181935183,0.0,0.0,0.6756410256410257,40.0,0.7718064818064817,0.8183952133330871,0.9000199791008922,0.5,3.0,0.5575984990619137
copt1239,-0.36210131332082557,-0.2538461538461539,0.14470842332613396,0.0,0.0,0.3730769230769231,40.0,0.855291576673866,0.7415491515045981,0.74947457918664,-0.5530434782608695,24.0,-0.35478424015009385
czec1258,0.29756097560975614,0.2076923076923077,0.29076804076804075,0.0,1.0,0.6038461538461538,40.0,0.7092319592319593,0.8864965497087305,0.90105050061759,0.2773913043478261,24.0,0.3887429643527205
dani1285,0.23696060037523456,0.15384615384615388,0.0,1.0,1.0,0.5769230769230769,40.0,1.0,0.900973969893486,0.893967789704145,-0.07130434782608694,24.0,0.225703564727955
dutc1256,-0.01106941838649156,-0.015384615384615385,0.30282654230002226,0.0,0.0,0.49230769230769234,40.0,0.6971734576999777,0.6618620920660848,0.665434413216346,-0.2721739130434782,24.0,-0.033020637898686686
faro1244,-0.4191369606003753,-0.2692307692307693,0.4339887640449438,0.0,0.0,0.36538461538461536,40.0,0.5660112359550562,0.6311128404976777,0.6556674365047781,-0.4504347826086956,24.0,-0.34502814258911824
finn1318,0.04803001876172608,0.03076923076923077,0.3092270274378658,0.0,0.0,0.5153846153846153,40.0,0.6907729725621342,0.7371361021641911,0.715900008949086,0.054782608695652164,24.0,0.10206378986866795
hebr1245,-0.3185741088180113,-0.20512820512820512,0.5435825435825438,0.0,0.0,0.3974358974358974,40.0,0.4564174564174563,0.5399294259782117,0.5571939077410165,,0.0,-0.34971857410881807
hind1269,0.3810506566604128,0.2538461538461539,0.3921971535745808,0.0,0.0,0.6269230769230769,40.0,0.6078028464254192,0.7102866373730367,0.765365471660689,,1.0,0.39962476547842407
hung1274,0.3816135084427768,0.2641025641025641,0.16302521008403356,0.0,1.0,0.632051282051282,40.0,0.8369747899159664,0.8613346336918316,0.8364515244908651,0.3608695652173913,24.0,0.3872420262664166
icel1247,-0.22439024390243903,-0.16153846153846155,0.303078768492603,0.0,0.0,0.41923076923076924,40.0,0.696921231507397,0.6141260304136072,0.6723851127419885,-0.32,24.0,-0.13602251407129456
iris1253,-0.3028142589118199,-0.18205128205128207,0.4633241467034132,0.0,0.0,0.40897435897435896,40.0,0.5366758532965868,0.6176186923748077,0.5956569232325443,-0.348695652173913,24.0,-0.23864915572232648
ital1282,-0.09906191369606004,-0.05897435897435897,0.41726670777149294,0.0,0.0,0.4705128205128205,40.0,0.5827332922285071,0.6543487871969504,0.6675735696992411,-0.1695652173913043,24.0,-0.03133208255159475
komi1268,0.21275797373358352,0.13846153846153847,0.4080290412128978,0.0,1.0,0.5692307692307692,40.0,0.5919709587871023,0.7522102813439788,0.7691601235240174,-0.5,3.0,0.18780487804878052
kore1280,0.2960600375234522,0.18461538461538463,0.3835801838610829,0.0,1.0,0.5923076923076923,40.0,0.616419816138917,0.7036809518341374,0.7242910087551501,,0.0,0.30168855534709194
latv1249,0.32045028142589127,0.21025641025641026,0.13319672131147536,0.0,0.0,0.6051282051282051,40.0,0.8668032786885246,0.799781098862007,0.8425626648184433,0.4660869565217391,24.0,0.4422138836772983
lith1251,0.33583489681050666,0.22820512820512823,0.22561758706655582,0.0,0.0,0.6141025641025641,40.0,0.7743824129334441,0.7479622048319794,0.7775525625751085,0.4834782608695652,24.0,0.403189493433396
malt1254,-0.30637898686679177,-0.19743589743589746,0.48162154419137654,0.0,0.0,0.4012820512820513,40.0,0.5183784558086234,0.655900154692474,0.655598119056621,-0.35826086956521735,24.0,-0.2789868667917449
mand1415,-0.2981238273921201,-0.2,0.48124999999999996,0.0,0.0,0.4,40.0,0.51875,0.49241366685791615,0.5329454597266802,,1.0,-0.2924953095684803
mara1378,0.44352720450281435,0.3461538461538462,0.7006106790542305,0.0,1.0,0.6730769230769231,40.0,0.2993893209457695,0.6579626769189395,0.7204810023030565,,1.0,0.42795497185741094
mode1248,-0.2731707317073171,-0.18205128205128207,0.5598787962261552,0.0,0.0,0.40897435897435896,40.0,0.4401212037738447,0.5004673696321175,0.5865490129237783,,0.0,-0.24033771106941842
nort2671,0.125328330206379,0.0717948717948718,0.3198778422835027,0.0,0.0,0.5358974358974359,40.0,0.6801221577164973,0.6811736255373946,0.7578725805190334,0.15304347826086956,24.0,0.12157598499061914
nucl1235,0.25309568480300193,0.16666666666666669,0.27530384600971797,0.0,1.0,0.5833333333333334,40.0,0.724696153990282,0.7745094530239268,0.7964048381728988,,0.0,0.2686679174484053
nucl1301,0.2810506566604128,0.17435897435897438,0.40150982689053755,0.0,1.0,0.5871794871794872,40.0,0.5984901731094625,0.7590868462224621,0.7218257628081506,0.29739130434782607,24.0,0.2923076923076924
nucl1347,-0.4121951219512196,-0.28461538461538466,0.44178226145439264,0.0,0.0,0.3576923076923077,40.0,0.5582177385456074,0.5987109366515798,0.5753871581351314,-0.4626086956521739,24.0,-0.39230769230769236
nucl1643,0.226829268292683,0.14871794871794874,0.0,1.0,1.0,0.5743589743589743,40.0,1.0,0.8488715728447868,0.8351928434280448,,1.0,0.24240150093808632
poli1260,-0.02138836772983115,-0.020512820512820516,0.5875571456966805,0.0,0.0,0.4897435897435897,40.0,0.4124428543033195,0.5832647920188722,0.6571336183847216,0.002608695652173913,24.0,0.06547842401500939
port1283,-0.27091932457786116,-0.1794871794871795,0.472079460543102,0.0,0.0,0.41025641025641024,40.0,0.527920539456898,0.5386956181732335,0.5785212267642795,-0.29130434782608694,24.0,-0.23170731707317077
russ1263,0.2964352720450282,0.20512820512820512,0.3328724209308019,0.0,0.0,0.6025641025641025,40.0,0.6671275790691981,0.7397312314966002,0.7610511460922497,-1.0,3.0,0.3480300187617262
slov1268,0.2894934333958724,0.18717948717948718,0.1741888968997839,0.0,0.0,0.5935897435897436,40.0,0.8258111031002161,0.8262728337950205,0.8215774551899873,0.45999999999999996,24.0,0.3624765478424016
stan1289,-0.25666041275797374,-0.158974358974359,0.2522568301829035,0.0,0.0,0.4205128205128205,40.0,0.7477431698170964,0.680525303782624,0.7086669859450159,-0.23739130434782607,24.0,-0.24840525328330212
stan1290,-0.18986866791744844,-0.12820512820512822,0.39190697223075815,0.0,0.0,0.4358974358974359,40.0,0.6080930277692418,0.6399052872024411,0.6683379429233786,-0.04869565217391304,24.0,-0.1881801125703565
stan1293,-0.31238273921200754,-0.22564102564102564,0.6731891589382797,0.0,0.0,0.3871794871794872,40.0,0.3268108410617203,0.5919165533912923,0.5948848416529738,-0.25130434782608696,24.0,-0.2879924953095685
stan1318,-0.2810506566604128,-0.16153846153846155,0.48831541218637997,0.0,0.0,0.41923076923076924,40.0,0.51168458781362,0.5648680613981009,0.5722221283558412,,1.0,-0.31031894934333965
swed1254,-0.42382739212007514,-0.2948717948717949,0.5219249349684132,0.0,0.0,0.3525641025641026,40.0,0.4780750650315868,0.5606647434406625,0.5426150604752741,-0.44695652173913036,24.0,-0.3956848030018762
tami1289,0.3140712945590995,0.20512820512820512,0.18418803418803417,0.0,1.0,0.6025641025641025,40.0,0.8158119658119658,0.865877236439415,0.8112916161234964,,1.0,0.31594746716697936
telu1262,0.452157598499062,0.32820512820512826,0.2709200184928341,0.0,0.0,0.6641025641025641,40.0,0.7290799815071659,0.7284219026744793,0.7776838992777132,,1.0,0.44371482176360233
ukra1253,0.12645403377110695,0.06410256410256411,0.42232515277912513,0.0,0.0,0.532051282051282,40.0,0.5776748472208749,0.7204466664305238,0.7120047764357635,-0.5,3.0,0.18048780487804877
viet1252,-0.41613508442776737,-0.31025641025641026,0.3593099744932205,0.0,0.0,0.34487179487179487,40.0,0.6406900255067796,0.5244295961869255,0.5702003438258617,-0.42869565217391303,24.0,-0.40956848030018767
wels1247,-0.43227016885553476,-0.28205128205128205,0.4464340759422727,0.0,0.0,0.358974358974359,40.0,0.5535659240577273,0.5503541778602528,0.6049570958019377,-0.40782608695652167,24.0,-0.42926829268292693
west2369,-0.17767354596622892,-0.11025641025641025,0.3891263057929725,0.0,0.0,0.44487179487179485,40.0,0.6108736942070274,0.5208431514175563,0.5814142035878002,,1.0,-0.16191369606003755
