,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.5752345215759851,0.417948717948718,0.2281935181935183,0.0,0.0,0.708974358974359,40.0,0.7718064818064817,0.8183952133330871,0.8896432600175341,0.5,3.0,0.5155722326454034
copt1239,-0.34484052532833026,-0.24615384615384617,0.3257079261739291,0.0,0.0,0.3769230769230769,40.0,0.6742920738260709,0.7199731688521052,0.7063319392764581,-0.5756521739130435,24.0,-0.3377110694183865
czec1258,0.5221388367729831,0.37692307692307697,0.0,1.0,1.0,0.6884615384615385,40.0,1.0,0.97294928475178,0.9763015966318032,0.5382608695652172,24.0,0.47354596622889317
dani1285,0.1429643527204503,0.09487179487179487,0.0,1.0,1.0,0.5474358974358975,40.0,1.0,0.8849698850690485,0.8507649362043107,-0.1843478260869565,24.0,0.10919324577861166
dutc1256,-0.10450281425891184,-0.08205128205128207,0.4757608638340266,0.0,0.0,0.45897435897435895,40.0,0.5242391361659734,0.524383934329447,0.5950417086171556,-0.32956521739130434,24.0,-0.10375234521575986
faro1244,-0.42176360225140724,-0.2871794871794872,0.44488742964352723,0.0,0.0,0.3564102564102564,40.0,0.5551125703564728,0.5666021865490819,0.6359000242983323,-0.5008695652173912,24.0,-0.28273921200750474
finn1318,0.13039399624765483,0.09230769230769231,0.3092270274378658,0.0,0.0,0.5461538461538461,40.0,0.6907729725621342,0.7371361021641911,0.7414952445963356,0.18869565217391301,24.0,0.12120075046904316
hebr1245,-0.3575984990619137,-0.24871794871794875,0.38765928906773983,0.0,0.0,0.37564102564102564,40.0,0.6123407109322602,0.5692727168173306,0.5665789980763514,,0.0,-0.32551594746716705
hind1269,0.41594746716697945,0.2923076923076923,0.3921971535745808,0.0,0.0,0.6461538461538462,40.0,0.6078028464254192,0.7008095925284542,0.76516581171625,,1.0,0.42926829268292693
hung1274,0.4298311444652909,0.3,0.16302521008403356,0.0,0.0,0.65,40.0,0.8369747899159664,0.740134992370781,0.7829434639854777,0.4626086956521739,24.0,0.4904315196998124
icel1247,-0.21294559099437152,-0.1435897435897436,0.5378905041756883,0.0,0.0,0.4282051282051282,40.0,0.4621094958243117,0.5721391576048754,0.6178302999068562,-0.35130434782608694,24.0,-0.10000000000000002
iris1253,-0.26435272045028146,-0.1512820512820513,0.5017814831066258,0.0,0.0,0.42435897435897435,40.0,0.49821851689337415,0.467149409032406,0.5715628949382326,-0.3652173913043478,24.0,-0.20750469043151973
ital1282,-0.08480300187617261,-0.046153846153846156,0.420009235031553,0.0,0.0,0.47692307692307695,40.0,0.579990764968447,0.6405360463057561,0.712430863609531,-0.25565217391304346,24.0,-0.01200750469043152
komi1268,0.36547842401500946,0.2205128205128205,0.3791778975741239,0.0,0.0,0.6102564102564103,40.0,0.6208221024258761,0.6392016264567792,0.7348755513782862,-0.5,3.0,0.29061913696060043
kore1280,0.3485928705440901,0.23076923076923078,0.3835801838610829,0.0,1.0,0.6153846153846154,40.0,0.616419816138917,0.7036809518341374,0.7023301338275331,,0.0,0.36998123827392126
latv1249,0.4966228893058163,0.3358974358974359,0.13319672131147536,0.0,0.0,0.6679487179487179,40.0,0.8668032786885246,0.799781098862007,0.8284224487729032,0.5078260869565216,24.0,0.5228893058161351
lith1251,0.48986866791744843,0.32820512820512826,0.22561758706655582,0.0,0.0,0.6641025641025641,40.0,0.7743824129334441,0.7479622048319794,0.7932249163394469,0.5052173913043477,24.0,0.4866791744840526
malt1254,-0.34765478424015017,-0.24871794871794875,0.48162154419137654,0.0,0.0,0.37564102564102564,40.0,0.5183784558086234,0.5944238668766613,0.6430375754068227,-0.368695652173913,24.0,-0.31275797373358355
mand1415,-0.41801125703564734,-0.28974358974358977,0.5862712336396548,0.0,0.0,0.35512820512820514,40.0,0.41372876636034517,0.5309213741192256,0.5550766850246148,,1.0,-0.41313320825515953
mara1378,0.4210131332082552,0.31025641025641026,0.7006106790542305,0.0,1.0,0.6551282051282051,40.0,0.2993893209457695,0.6212514938079727,0.6841237351304778,,1.0,0.38630393996247664
mode1248,-0.2656660412757974,-0.16923076923076927,0.1600722578834754,0.0,0.0,0.4153846153846154,40.0,0.8399277421165245,0.689725790336056,0.6948039282035867,,0.0,-0.23208255159474675
nort2671,0.19099437148217638,0.13333333333333333,0.3198778422835027,0.0,0.0,0.5666666666666667,40.0,0.6801221577164973,0.6811736255373946,0.6934699962197682,0.29739130434782607,24.0,0.175797373358349
nucl1235,0.38630393996247664,0.26153846153846155,0.27530384600971797,0.0,1.0,0.6307692307692307,40.0,0.724696153990282,0.7967678660032439,0.798712931662303,,0.0,0.3746716697936211
nucl1301,0.3628517823639775,0.2358974358974359,0.0,1.0,1.0,0.617948717948718,40.0,1.0,0.7904180795940767,0.769496024617679,0.38956521739130434,24.0,0.3992495309568481
nucl1347,-0.4061913696060038,-0.2743589743589744,0.680561803368821,0.0,0.0,0.3628205128205128,40.0,0.319438196631179,0.5004200424570444,0.5410284904974426,-0.42173913043478256,24.0,-0.3844277673545967
nucl1643,0.37129455909943726,0.24102564102564103,0.0,1.0,1.0,0.6205128205128205,40.0,1.0,0.8620531802355557,0.8361758627586495,,1.0,0.3581613508442777
poli1260,0.19718574108818013,0.13589743589743591,0.5875571456966805,0.0,0.0,0.5679487179487179,40.0,0.4124428543033195,0.5858297563747296,0.6404460167382601,0.2860869565217391,24.0,0.20093808630393997
port1283,-0.2696060037523453,-0.16923076923076927,0.472079460543102,0.0,0.0,0.4153846153846154,40.0,0.527920539456898,0.6047874370454894,0.6529851327951284,-0.2939130434782608,24.0,-0.2427767354596623
russ1263,0.3864915572232646,0.2538461538461539,0.3328724209308019,0.0,0.0,0.6269230769230769,40.0,0.6671275790691981,0.7397312314966002,0.7130630533734563,-1.0,3.0,0.40938086303939974
slov1268,0.4534709193245779,0.2948717948717949,0.1741888968997839,0.0,0.0,0.6474358974358975,40.0,0.8258111031002161,0.7711712054071881,0.8005292687376088,0.5339130434782609,24.0,0.46566604127579747
stan1289,-0.2962476547842402,-0.19230769230769232,0.5204883859440145,0.0,0.0,0.40384615384615385,40.0,0.4795116140559855,0.5576561277396686,0.6395474756130551,-0.3304347826086956,24.0,-0.2844277673545967
stan1290,-0.27091932457786116,-0.17435897435897438,0.2964218107945889,0.0,0.0,0.4128205128205128,40.0,0.7035781892054112,0.657030780634727,0.7148565243660624,-0.19478260869565217,24.0,-0.26247654784240154
stan1293,-0.36772983114446534,-0.26666666666666666,0.23400479190700169,0.0,0.0,0.36666666666666664,40.0,0.7659952080929983,0.6075525120784875,0.6300901207965166,-0.3347826086956522,24.0,-0.3356472795497186
stan1318,-0.31538461538461543,-0.19487179487179487,0.4732736930388594,0.0,0.0,0.4025641025641026,40.0,0.5267263069611405,0.5936794623297221,0.6063045724027077,,1.0,-0.30206378986866794
swed1254,-0.4371482176360226,-0.2948717948717949,0.5219249349684132,0.0,0.0,0.3525641025641026,40.0,0.4780750650315868,0.5331086100653436,0.5751671170586152,-0.47043478260869553,24.0,-0.3705440900562853
tami1289,0.37335834896810505,0.26153846153846155,0.3646377893950711,0.0,0.0,0.6307692307692307,40.0,0.6353622106049289,0.6153321742451395,0.7215807204282972,,1.0,0.3992495309568481
telu1262,0.4568480300187618,0.33333333333333337,0.2709200184928341,0.0,0.0,0.6666666666666666,40.0,0.7290799815071659,0.7319852636122862,0.78041598646108,,1.0,0.452157598499062
ukra1253,0.3071294559099437,0.18974358974358974,0.25527216297946836,0.0,0.0,0.5948717948717949,40.0,0.7447278370205317,0.7750450441994877,0.7605399247683595,-0.5,3.0,0.2962476547842402
viet1252,-0.47317073170731716,-0.32564102564102565,0.3593099744932205,0.0,0.0,0.3371794871794872,40.0,0.6406900255067796,0.5331498929517755,0.584932997546979,-0.5156521739130434,24.0,-0.453658536585366
wels1247,-0.45440900562851794,-0.31538461538461543,0.4464340759422727,0.0,0.0,0.3423076923076923,40.0,0.5535659240577273,0.4933128631922808,0.5243484865402627,-0.5417391304347825,24.0,-0.4309568480300188
west2369,-0.1979362101313321,-0.12051282051282051,0.47525528986203147,0.0,0.0,0.43974358974358974,40.0,0.5247447101379685,0.5212270439884839,0.5693252470802307,,1.0,-0.09080675422138838
