,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.5883677298311445,0.4307692307692308,0.2281935181935183,0.0,0.0,0.7153846153846154,40.0,0.7718064818064817,0.8183952133330871,0.9023961495908872,0.5,3.0,0.5287054409005629
copt1239,-0.34277673545966236,-0.2435897435897436,0.14470842332613396,0.0,0.0,0.3782051282051282,40.0,0.855291576673866,0.7516026777269468,0.7294053920337453,-0.5530434782608695,24.0,-0.3377110694183865
czec1258,0.5144465290806755,0.358974358974359,0.0,1.0,1.0,0.6794871794871795,40.0,1.0,0.9626153808471504,0.9743928292072608,0.5147826086956522,24.0,0.47786116322701694
dani1285,0.15103189493433397,0.10256410256410256,0.0,1.0,1.0,0.5512820512820513,40.0,1.0,0.8927050751406882,0.8581958640224695,-0.17391304347826084,24.0,0.10975609756097562
dutc1256,-0.10750469043151972,-0.0794871794871795,0.4757608638340266,0.0,0.0,0.46025641025641023,40.0,0.5242391361659734,0.5752443403461535,0.6213222951124743,-0.3208695652173913,24.0,-0.12926829268292683
faro1244,-0.44052532833020647,-0.2923076923076923,0.4339887640449438,0.0,0.0,0.35384615384615387,40.0,0.5660112359550562,0.5721027878339581,0.6400407945280311,-0.5113043478260869,24.0,-0.30581613508442784
finn1318,0.10769230769230771,0.0794871794871795,0.3092270274378658,0.0,0.0,0.5397435897435897,40.0,0.6907729725621342,0.7371361021641911,0.7414952445963356,0.1443478260869565,24.0,0.12439024390243905
hebr1245,-0.3647279549718575,-0.24871794871794875,0.38765928906773983,0.0,0.0,0.37564102564102564,40.0,0.6123407109322602,0.5692727168173306,0.5665789980763514,,0.0,-0.3333958724202627
hind1269,0.4166979362101314,0.2923076923076923,0.3921971535745808,0.0,0.0,0.6461538461538462,40.0,0.6078028464254192,0.7008095925284542,0.76516581171625,,1.0,0.4347091932457787
hung1274,0.45028142589118203,0.31538461538461543,0.16302521008403356,0.0,0.0,0.6576923076923077,40.0,0.8369747899159664,0.740134992370781,0.8105095159162976,0.4860869565217391,24.0,0.4966228893058163
icel1247,-0.2227016885553471,-0.15384615384615388,0.5378905041756883,0.0,0.0,0.4230769230769231,40.0,0.4621094958243117,0.5721391576048754,0.6178302999068562,-0.3643478260869565,24.0,-0.100375234521576
iris1253,-0.2814258911819888,-0.16923076923076927,0.5017814831066258,0.0,0.0,0.4153846153846154,40.0,0.49821851689337415,0.464860356580768,0.5465818308353905,-0.38,24.0,-0.2105065666041276
ital1282,-0.11144465290806756,-0.05897435897435897,0.420009235031553,0.0,0.0,0.4705128205128205,40.0,0.579990764968447,0.6730932033813278,0.7157842535062591,-0.2643478260869565,24.0,-0.020450281425891184
komi1268,0.36435272045028144,0.22820512820512823,0.3791778975741239,0.0,0.0,0.6141025641025641,40.0,0.6208221024258761,0.6392016264567792,0.7348755513782862,-0.5,3.0,0.29455909943714825
kore1280,0.3440900562851783,0.23076923076923078,0.3835801838610829,0.0,1.0,0.6153846153846154,40.0,0.616419816138917,0.7036809518341374,0.7023301338275331,,0.0,0.377110694183865
latv1249,0.49249530956848037,0.33076923076923076,0.13319672131147536,0.0,0.0,0.6653846153846154,40.0,0.8668032786885246,0.799781098862007,0.8284224487729032,0.5121739130434783,24.0,0.5127579737335837
lith1251,0.49437148217636023,0.33333333333333337,0.22561758706655582,0.0,0.0,0.6666666666666666,40.0,0.7743824129334441,0.7479622048319794,0.7932249163394469,0.5130434782608695,24.0,0.4748592870544091
malt1254,-0.3311444652908068,-0.2358974358974359,0.48162154419137654,0.0,0.0,0.382051282051282,40.0,0.5183784558086234,0.693828045549474,0.684029170513267,-0.35739130434782607,24.0,-0.31575984990619144
mand1415,-0.42195121951219516,-0.2974358974358975,0.5862712336396548,0.0,0.0,0.35128205128205126,40.0,0.41372876636034517,0.5309213741192256,0.5394348544230025,,1.0,-0.4172607879924954
mara1378,0.4225140712945592,0.30769230769230776,0.7006106790542305,0.0,1.0,0.6538461538461539,40.0,0.2993893209457695,0.6212514938079727,0.6841237351304778,,1.0,0.38836772983114454
mode1248,-0.27786116322701687,-0.1717948717948718,0.48162154419137654,0.0,0.0,0.41410256410256413,40.0,0.5183784558086234,0.6307136550222079,0.6531863568674502,,0.0,-0.250093808630394
nort2671,0.17073170731707318,0.12307692307692308,0.3198778422835027,0.0,0.0,0.5615384615384615,40.0,0.6801221577164973,0.6811736255373946,0.6922943806630011,0.2713043478260869,24.0,0.18667917448405252
nucl1235,0.40750469043151977,0.2794871794871795,0.27530384600971797,0.0,1.0,0.6397435897435897,40.0,0.724696153990282,0.7967678660032439,0.798712931662303,,0.0,0.3662288930581614
nucl1301,0.36116322701688564,0.22820512820512823,0.0,1.0,1.0,0.6141025641025641,40.0,1.0,0.7904180795940767,0.769496024617679,0.40086956521739125,24.0,0.3921200750469044
nucl1347,-0.41613508442776737,-0.28461538461538466,0.44178226145439264,0.0,0.0,0.3576923076923077,40.0,0.5582177385456074,0.5442419112580222,0.5706359042784925,-0.44434782608695644,24.0,-0.38048780487804884
nucl1643,0.36135084427767356,0.23076923076923078,0.0,1.0,1.0,0.6153846153846154,40.0,1.0,0.8620531802355557,0.8361758627586495,,1.0,0.3575984990619137
poli1260,0.18705440900562856,0.12820512820512822,0.5875571456966805,0.0,0.0,0.5641025641025641,40.0,0.4124428543033195,0.5832647920188722,0.6385209127595122,0.2643478260869565,24.0,0.16866791744840529
port1283,-0.2801125703564728,-0.1717948717948718,0.472079460543102,0.0,0.0,0.41410256410256413,40.0,0.527920539456898,0.533059845876695,0.6228095788380257,-0.2843478260869565,24.0,-0.25666041275797374
russ1263,0.3836772983114447,0.25641025641025644,0.3328724209308019,0.0,0.0,0.6282051282051282,40.0,0.6671275790691981,0.7397312314966002,0.7130630533734563,-1.0,3.0,0.4210131332082552
slov1268,0.44352720450281435,0.2948717948717949,0.1741888968997839,0.0,0.0,0.6474358974358975,40.0,0.8258111031002161,0.7711712054071881,0.8023069325500025,0.5347826086956522,24.0,0.46247654784240155
stan1289,-0.3041275797373359,-0.19743589743589746,0.5204883859440145,0.0,0.0,0.4012820512820513,40.0,0.4795116140559855,0.6143585342693709,0.6491179699450328,-0.3026086956521739,24.0,-0.29943714821763606
stan1290,-0.2686679174484053,-0.1717948717948718,0.2964218107945889,0.0,0.0,0.41410256410256413,40.0,0.7035781892054112,0.657030780634727,0.7148565243660624,-0.17130434782608694,24.0,-0.26285178236397755
stan1293,-0.37448405253283307,-0.2743589743589744,0.23400479190700169,0.0,0.0,0.3628205128205128,40.0,0.7659952080929983,0.596365960196554,0.6194479794284208,-0.34434782608695647,24.0,-0.3360225140712946
stan1318,-0.31782363977485933,-0.19230769230769232,0.4732736930388594,0.0,0.0,0.40384615384615385,40.0,0.5267263069611405,0.5652101864495069,0.6032765408740081,,1.0,-0.31988742964352723
swed1254,-0.45422138836772985,-0.31025641025641026,0.5219249349684132,0.0,0.0,0.34487179487179487,40.0,0.4780750650315868,0.529578382875426,0.5748006511860931,-0.48956521739130426,24.0,-0.38217636022514073
tami1289,0.3731707317073171,0.26153846153846155,0.3646377893950711,0.0,0.0,0.6307692307692307,40.0,0.6353622106049289,0.6153321742451395,0.7333763140991083,,1.0,0.4061913696060038
telu1262,0.4615384615384616,0.33846153846153854,0.2709200184928341,0.0,0.0,0.6692307692307692,40.0,0.7290799815071659,0.7319852636122862,0.78041598646108,,1.0,0.44953095684803007
ukra1253,0.2829268292682927,0.1717948717948718,0.25527216297946836,0.0,0.0,0.5858974358974359,40.0,0.7447278370205317,0.7367426579590148,0.7566598434668966,-0.5,3.0,0.3037523452157599
viet1252,-0.47542213883677314,-0.32820512820512826,0.3593099744932205,0.0,0.0,0.33589743589743587,40.0,0.6406900255067796,0.5331498929517755,0.584932997546979,-0.5217391304347825,24.0,-0.46679174484052544
wels1247,-0.4684803001876173,-0.3230769230769231,0.4464340759422727,0.0,0.0,0.3384615384615385,40.0,0.5535659240577273,0.4933128631922808,0.5233954473246452,-0.5469565217391303,24.0,-0.426641651031895
