,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.577673545966229,0.4051282051282052,0.2281935181935183,0.0,1.0,0.7025641025641025,40.0,0.7718064818064817,0.8548648248209407,0.8710620258460596,0.5,3.0,0.5080675422138837
copt1239,-0.32908067542213887,-0.2435897435897436,0.3257079261739291,0.0,0.0,0.3782051282051282,40.0,0.6742920738260709,0.7110786110798731,0.727908879646827,-0.5365217391304348,24.0,-0.34690431519699816
czec1258,0.6041275797373359,0.4256410256410257,0.31719848389465954,0.0,1.0,0.7128205128205128,40.0,0.6828015161053405,0.902461587534456,0.9156446856700907,0.5495652173913043,24.0,0.5247654784240151
dani1285,0.005440900562851784,-0.005128205128205129,0.0,1.0,1.0,0.49743589743589745,40.0,1.0,0.8196528857724649,0.802828027525726,-0.44434782608695644,24.0,-0.01632270168855535
dutc1256,-0.25853658536585367,-0.17692307692307693,0.4757608638340266,0.0,0.0,0.4115384615384615,40.0,0.5242391361659734,0.36467970279112294,0.44898055667296743,-0.5521739130434782,24.0,-0.2056285178236398
faro1244,-0.30581613508442784,-0.2076923076923077,0.4339887640449438,0.0,0.0,0.39615384615384613,40.0,0.5660112359550562,0.569263151191858,0.6394519317773539,-0.44695652173913036,24.0,-0.23696060037523456
finn1318,0.4065666041275798,0.24615384615384617,0.3092270274378658,0.0,0.0,0.6230769230769231,40.0,0.6907729725621342,0.6710613491752018,0.7145389035442891,0.38956521739130434,24.0,0.47242026266416515
hebr1245,-0.31275797373358355,-0.2153846153846154,0.38765928906773983,0.0,0.0,0.3923076923076923,40.0,0.6123407109322602,0.5439274807311812,0.5652177669244776,,0.0,-0.32457786116322707
hind1269,0.4277673545966229,0.2923076923076923,0.3921971535745808,0.0,1.0,0.6461538461538462,40.0,0.6078028464254192,0.7732465055108146,0.7719433136357909,,1.0,0.4335834896810507
hung1274,0.45703564727954976,0.32564102564102565,0.4957356855785794,0.0,1.0,0.6628205128205128,40.0,0.5042643144214206,0.7316683801157328,0.7526888702444154,0.45217391304347826,24.0,0.4958724202626643
icel1247,0.16341463414634147,0.08717948717948719,0.4042099136676691,0.0,0.0,0.5435897435897435,40.0,0.5957900863323309,0.6160777657158609,0.633898176371713,0.07043478260869565,24.0,0.29212007504690435
iris1253,-0.3382739212007505,-0.22820512820512823,0.5017814831066258,0.0,1.0,0.3858974358974359,40.0,0.49821851689337415,0.6589392893754907,0.6271233311912016,-0.5260869565217391,24.0,-0.38198874296435276
ital1282,0.26097560975609757,0.16923076923076927,0.420009235031553,0.0,0.0,0.5846153846153846,40.0,0.579990764968447,0.6168975174957484,0.7115661857057861,0.14260869565217388,24.0,0.29737335834896816
komi1268,0.3881801125703565,0.2538461538461539,0.29296296296296304,0.0,1.0,0.6269230769230769,40.0,0.707037037037037,0.8105481293220941,0.7961015626997127,0.5,3.0,0.3495309568480301
kore1280,0.4221388367729832,0.2974358974358975,0.3835801838610829,0.0,1.0,0.6487179487179487,40.0,0.616419816138917,0.7714342304260579,0.7624656930208242,,0.0,0.40187617260787994
latv1249,0.48217636022514077,0.30769230769230776,0.13319672131147536,0.0,0.0,0.6538461538461539,40.0,0.8668032786885246,0.8194269227585004,0.8187472582708739,0.4660869565217391,24.0,0.5403377110694184
lith1251,0.45966228893058164,0.30769230769230776,0.22561758706655582,0.0,0.0,0.6538461538461539,40.0,0.7743824129334441,0.7700061252497536,0.7913564724430835,0.4756521739130434,24.0,0.5125703564727955
malt1254,-0.40075046904315204,-0.28205128205128205,0.5598787962261552,0.0,0.0,0.358974358974359,40.0,0.4401212037738447,0.4997148735043228,0.5544237392627317,-0.46782608695652167,24.0,-0.34765478424015017
mand1415,-0.42176360225140724,-0.27179487179487183,0.48124999999999996,0.0,0.0,0.3641025641025641,40.0,0.51875,0.5110464795822601,0.5637846047591808,,1.0,-0.42045028142589125
mara1378,0.42007504690431524,0.31025641025641026,0.7006106790542305,0.0,1.0,0.6551282051282051,40.0,0.2993893209457695,0.6579626769189395,0.7204810023030565,,1.0,0.4116322701688556
mode1248,-0.3527204502814259,-0.24871794871794875,0.1600722578834754,0.0,0.0,0.37564102564102564,40.0,0.8399277421165245,0.7494881528261865,0.7076019791969614,,0.0,-0.33245778611632276
nort2671,0.4251407129455911,0.28461538461538466,0.3198778422835027,0.0,0.0,0.6423076923076924,40.0,0.6801221577164973,0.6811736255373946,0.7078014435336936,0.38434782608695645,24.0,0.4589118198874297
nucl1235,0.46003752345215765,0.3,0.27530384600971797,0.0,1.0,0.65,40.0,0.724696153990282,0.7967678660032439,0.8371145981241348,,0.0,0.47692307692307706
