,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.551219512195122,0.38974358974358975,0.2281935181935183,0.0,0.0,0.6948717948717948,40.0,0.7718064818064817,0.8329779713351813,0.8714904992776605,-0.5,3.0,0.5333958724202628
copt1239,-0.3283302063789869,-0.24615384615384617,0.31451005046356867,0.0,0.0,0.3769230769230769,40.0,0.6854899495364314,0.7284879152162252,0.7276724158614233,-0.5443478260869564,24.0,-0.3170731707317073
czec1258,0.5793621013133209,0.4,0.0,1.0,1.0,0.7,40.0,1.0,0.9720561328227887,0.9567328059464318,0.5147826086956522,24.0,0.5742964352720451
dani1285,-0.02082551594746717,-0.028205128205128206,0.3857702148648232,0.0,1.0,0.4858974358974359,40.0,0.6142297851351768,0.7645375586094657,0.716498355646742,-0.40695652173913033,24.0,-0.014071294559099438
dutc1256,-0.249718574108818,-0.16923076923076927,0.4757608638340266,0.0,0.0,0.4153846153846154,40.0,0.5242391361659734,0.6141307467830673,0.5556747514343455,-0.5147826086956522,24.0,-0.24146341463414636
faro1244,-0.46078799249530966,-0.31538461538461543,0.4339887640449438,0.0,0.0,0.3423076923076923,40.0,0.5660112359550562,0.5767553542923122,0.599372214714216,-0.5452173913043478,24.0,-0.3560975609756098
finn1318,0.403189493433396,0.258974358974359,0.3124761055180324,0.0,0.0,0.6294871794871795,40.0,0.6875238944819676,0.6881412490505471,0.6808980480611552,0.40869565217391296,24.0,0.4467166979362102
hebr1245,-0.3287054409005629,-0.2358974358974359,0.38765928906773983,0.0,0.0,0.382051282051282,40.0,0.6123407109322602,0.5356767136567054,0.5589257787050521,,0.0,-0.28461538461538466
hind1269,0.43339587242026273,0.3025641025641026,0.3921971535745808,0.0,0.0,0.6512820512820513,40.0,0.6078028464254192,0.7102866373730367,0.7789909028409563,,1.0,0.4369606003752346
hung1274,0.4480300187617261,0.32820512820512826,0.16302521008403356,0.0,0.0,0.6641025641025641,40.0,0.8369747899159664,0.7324481029737201,0.7771768873016793,0.4860869565217391,24.0,0.4926829268292684
icel1247,-0.25347091932457794,-0.1794871794871795,0.5378905041756883,0.0,0.0,0.41025641025641024,40.0,0.4621094958243117,0.541225483128071,0.60907763289136,-0.4121739130434783,24.0,-0.1803001876172608
iris1253,-0.3375234521575985,-0.23076923076923078,0.5017814831066258,0.0,1.0,0.38461538461538464,40.0,0.49821851689337415,0.6589392893754907,0.6469568473212601,-0.5208695652173913,24.0,-0.3649155722326454
ital1282,-0.21613508442776738,-0.1564102564102564,0.420009235031553,0.0,0.0,0.4217948717948718,40.0,0.579990764968447,0.5439803145276523,0.6224860957747274,-0.3817391304347826,24.0,-0.175609756097561
komi1268,0.41050656660412765,0.2743589743589744,0.3791778975741239,0.0,0.0,0.6371794871794871,40.0,0.6208221024258761,0.6760087105055007,0.7571168660848726,0.5,3.0,0.3532833020637899
kore1280,0.4210131332082552,0.3025641025641026,0.3835801838610829,0.0,1.0,0.6512820512820513,40.0,0.616419816138917,0.7391076102655026,0.759361854907498,,0.0,0.4133208255159475
latv1249,0.4827392120075048,0.31538461538461543,0.13319672131147536,0.0,0.0,0.6576923076923077,40.0,0.8668032786885246,0.8194269227585004,0.8165400572048619,0.49304347826086947,24.0,0.5270168855534709
lith1251,0.4722326454033771,0.32564102564102565,0.22561758706655582,0.0,0.0,0.6628205128205128,40.0,0.7743824129334441,0.774910584563418,0.7930664063040783,0.49999999999999994,24.0,0.49099437148217645
malt1254,-0.3934333958724203,-0.2794871794871795,0.48162154419137654,0.0,0.0,0.36025641025641025,40.0,0.5183784558086234,0.5163806810651655,0.5814249988094287,-0.4339130434782608,24.0,-0.35440900562851785
mand1415,-0.4103189493433396,-0.27179487179487183,0.5862712336396548,0.0,0.0,0.3641025641025641,40.0,0.41372876636034517,0.5309213741192256,0.55560025181731,,1.0,-0.4202626641651032
mara1378,0.4637898686679175,0.3435897435897436,0.5024637127578305,0.0,1.0,0.6717948717948717,40.0,0.49753628724216953,0.6620601026256998,0.7872834196727777,,1.0,0.44165103189493443
mode1248,-0.3690431519699813,-0.26666666666666666,0.1600722578834754,0.0,0.0,0.36666666666666664,40.0,0.8399277421165245,0.689725790336056,0.6955284145682623,,0.0,-0.3495309568480301
nort2671,0.3784240150093809,0.24871794871794875,0.3198778422835027,0.0,0.0,0.6243589743589744,40.0,0.6801221577164973,0.6837977005542825,0.7073482395650207,0.39652173913043476,24.0,0.39681050656660416
nucl1235,0.46866791744840525,0.31538461538461543,0.27530384600971797,0.0,1.0,0.6576923076923077,40.0,0.724696153990282,0.8348435488429624,0.8206026381622614,,0.0,0.4737335834896811
nucl1301,0.3904315196998124,0.27692307692307694,0.48711578276795675,0.0,1.0,0.6384615384615384,40.0,0.5128842172320432,0.6766225867309044,0.7055354012674651,0.4165217391304347,24.0,0.3870544090056286
nucl1347,-0.4080675422138837,-0.28974358974358977,0.680561803368821,0.0,0.0,0.35512820512820514,40.0,0.319438196631179,0.5004200424570444,0.5346764179933395,-0.4313043478260869,24.0,-0.36135084427767356
nucl1643,0.37879924953095684,0.258974358974359,0.0,1.0,1.0,0.6294871794871795,40.0,1.0,0.878033285580756,0.8300355859421108,,1.0,0.38048780487804884
