,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.5602251407129456,0.41282051282051285,0.2281935181935183,0.0,0.0,0.7064102564102565,40.0,0.7718064818064817,0.8183952133330871,0.866291517904228,0.5,3.0,0.5151969981238275
copt1239,-0.3461538461538462,-0.24615384615384617,0.3257079261739291,0.0,0.0,0.3769230769230769,40.0,0.6742920738260709,0.7049728808284651,0.7189071685837806,-0.551304347826087,24.0,-0.35347091932457797
czec1258,0.5889305816135086,0.4230769230769231,0.0,1.0,1.0,0.7115384615384616,40.0,1.0,0.9790209956711614,0.9808692130174745,0.5556521739130434,24.0,0.5287054409005629
dani1285,0.075234521575985,0.05384615384615385,0.0,1.0,1.0,0.5269230769230769,40.0,1.0,0.8330338333796322,0.8043867932329059,-0.29304347826086957,24.0,0.07223264540337712
dutc1256,-0.15684803001876174,-0.11794871794871795,0.4757608638340266,0.0,0.0,0.441025641025641,40.0,0.5242391361659734,0.564434311383927,0.5111156100552472,-0.35478260869565215,24.0,-0.14221388367729834
faro1244,-0.4063789868667918,-0.28205128205128205,0.44488742964352723,0.0,0.0,0.358974358974359,40.0,0.5551125703564728,0.5666021865490819,0.6342433937881574,-0.5226086956521738,24.0,-0.32457786116322707
finn1318,0.1876172607879925,0.13333333333333333,0.3092270274378658,0.0,0.0,0.5666666666666667,40.0,0.6907729725621342,0.7410872942598477,0.737320039665917,0.2539130434782608,24.0,0.22776735459662292
hebr1245,-0.3592870544090057,-0.25641025641025644,0.38765928906773983,0.0,0.0,0.3717948717948718,40.0,0.6123407109322602,0.5692727168173306,0.5514720832530721,,0.0,-0.3249530956848031
hind1269,0.4365853658536586,0.30512820512820515,0.3921971535745808,0.0,0.0,0.6525641025641026,40.0,0.6078028464254192,0.7008095925284542,0.7529268444377727,,1.0,0.43227016885553476
hung1274,0.45797373358348975,0.33076923076923076,0.16302521008403356,0.0,0.0,0.6653846153846154,40.0,0.8369747899159664,0.740134992370781,0.8054559127781529,0.47913043478260864,24.0,0.5058161350844278
icel1247,-0.18217636022514072,-0.11282051282051282,0.5378905041756883,0.0,0.0,0.44358974358974357,40.0,0.4621094958243117,0.6230879077123649,0.6230002657247996,-0.33652173913043476,24.0,-0.08161350844277675
iris1253,-0.2630393996247655,-0.158974358974359,0.5017814831066258,0.0,1.0,0.4205128205128205,40.0,0.49821851689337415,0.5514071568811464,0.5860828143833448,-0.3739130434782608,24.0,-0.26191369606003756
ital1282,-0.04052532833020639,0.0025641025641025645,0.420009235031553,0.0,0.0,0.5012820512820513,40.0,0.579990764968447,0.6631675044406184,0.7188546735185356,-0.2121739130434782,24.0,0.007129455909943716
komi1268,0.38574108818011266,0.23846153846153847,0.3791778975741239,0.0,0.0,0.6192307692307693,40.0,0.6208221024258761,0.6392016264567792,0.7353119093814368,-0.5,3.0,0.31632270168855536
kore1280,0.38198874296435276,0.258974358974359,0.3835801838610829,0.0,1.0,0.6294871794871795,40.0,0.616419816138917,0.7036809518341374,0.7023301338275331,,0.0,0.3934333958724203
latv1249,0.500750469043152,0.33333333333333337,0.13319672131147536,0.0,0.0,0.6666666666666666,40.0,0.8668032786885246,0.799781098862007,0.8284224487729032,0.4991304347826086,24.0,0.5277673545966229
lith1251,0.48968105065666045,0.33846153846153854,0.22561758706655582,0.0,0.0,0.6692307692307692,40.0,0.7743824129334441,0.7715555882961626,0.7956477072553658,0.5043478260869565,24.0,0.49831144465290816
malt1254,-0.3581613508442777,-0.2538461538461539,0.48162154419137654,0.0,0.0,0.3730769230769231,40.0,0.5183784558086234,0.6032213073905536,0.5967727777200191,-0.38434782608695645,24.0,-0.34990619136960605
mand1415,-0.43189493433395876,-0.2923076923076923,0.5862712336396548,0.0,0.0,0.35384615384615387,40.0,0.41372876636034517,0.4913952720025805,0.5508875541468125,,1.0,-0.426078799249531
mara1378,0.4193245778611633,0.30512820512820515,0.7006106790542305,0.0,1.0,0.6525641025641026,40.0,0.2993893209457695,0.6212514938079727,0.6841237351304778,,1.0,0.3954971857410882
mode1248,-0.2726078799249531,-0.1794871794871795,0.1600722578834754,0.0,0.0,0.41025641025641024,40.0,0.8399277421165245,0.689725790336056,0.6948039282035867,,0.0,-0.26191369606003756
nort2671,0.300187617260788,0.19487179487179487,0.3198778422835027,0.0,0.0,0.5974358974358974,40.0,0.6801221577164973,0.6811736255373946,0.6934699962197682,0.3565217391304348,24.0,0.3052532833020638
nucl1235,0.4557223264540338,0.30769230769230776,0.27530384600971797,0.0,1.0,0.6538461538461539,40.0,0.724696153990282,0.7967678660032439,0.798712931662303,,0.0,0.4369606003752346
nucl1301,0.37879924953095684,0.2538461538461539,0.0,1.0,1.0,0.6269230769230769,40.0,1.0,0.7904180795940767,0.769496024617679,0.39652173913043476,24.0,0.41744840525328336
nucl1347,-0.41088180112570366,-0.27692307692307694,0.680561803368821,0.0,0.0,0.36153846153846153,40.0,0.319438196631179,0.5004200424570444,0.563201255683208,-0.4130434782608695,24.0,-0.4063789868667918
nucl1643,0.37560975609756103,0.2435897435897436,0.0,1.0,1.0,0.6217948717948718,40.0,1.0,0.8620531802355557,0.8361758627586495,,1.0,0.3592870544090057
poli1260,0.2735459662288931,0.18205128205128207,0.5875571456966805,0.0,0.0,0.591025641025641,40.0,0.4124428543033195,0.5858297563747296,0.6404460167382601,0.3060869565217391,24.0,0.2954971857410882
port1283,-0.28968105065666044,-0.18717948717948718,0.472079460543102,0.0,0.0,0.4064102564102564,40.0,0.527920539456898,0.6047874370454894,0.6486134529228714,-0.3104347826086956,24.0,-0.27129455909943717
russ1263,0.39287054409005634,0.258974358974359,0.3328724209308019,0.0,0.0,0.6294871794871795,40.0,0.6671275790691981,0.6596770264092109,0.6977239305507822,-0.5,3.0,0.41257035647279555
slov1268,0.5202626641651033,0.34871794871794876,0.2783891186353064,0.0,0.0,0.6743589743589744,40.0,0.7216108813646936,0.7405380891100894,0.7781067248534537,0.5643478260869564,24.0,0.5339587242026268
stan1289,-0.3587242026266417,-0.24615384615384617,0.5204883859440145,0.0,0.0,0.3769230769230769,40.0,0.4795116140559855,0.5509873934656402,0.6252421129695093,-0.39391304347826084,24.0,-0.35891181988742976
stan1290,-0.30900562851782365,-0.20512820512820512,0.2964218107945889,0.0,0.0,0.3974358974358974,40.0,0.7035781892054112,0.657030780634727,0.7148565243660624,-0.2573913043478261,24.0,-0.29943714821763606
stan1293,-0.39324577861163235,-0.2871794871794872,0.23400479190700169,0.0,0.0,0.3564102564102564,40.0,0.7659952080929983,0.6573143424138932,0.6163244955819668,-0.36173913043478256,24.0,-0.3851782363977487
stan1318,-0.3210131332082552,-0.19743589743589746,0.4732736930388594,0.0,0.0,0.4012820512820513,40.0,0.5267263069611405,0.6036927397554983,0.6056265015142349,,1.0,-0.34971857410881807
swed1254,-0.44371482176360233,-0.2948717948717949,0.5219249349684132,0.0,0.0,0.3525641025641026,40.0,0.4780750650315868,0.5337694877741338,0.5470104234018204,-0.4982608695652173,24.0,-0.400562851782364
tami1289,0.39174484052532843,0.28205128205128205,0.3646377893950711,0.0,0.0,0.6410256410256411,40.0,0.6353622106049289,0.6153321742451395,0.7215807204282972,,1.0,0.4281425891181989
telu1262,0.46998123827392124,0.34102564102564104,0.2709200184928341,0.0,0.0,0.6705128205128205,40.0,0.7290799815071659,0.7319852636122862,0.78041598646108,,1.0,0.45741088180112577
ukra1253,0.401500938086304,0.25641025641025644,0.25527216297946836,0.0,0.0,0.6282051282051282,40.0,0.7447278370205317,0.7750450441994877,0.7605399247683595,0.5,3.0,0.3814258911819888
viet1252,-0.4812382739212009,-0.3358974358974359,0.3593099744932205,0.0,0.0,0.33205128205128204,40.0,0.6406900255067796,0.5331498929517755,0.584932997546979,-0.5321739130434783,24.0,-0.4703564727954973
wels1247,-0.4551594746716699,-0.317948717948718,0.4464340759422727,0.0,0.0,0.34102564102564104,40.0,0.5535659240577273,0.4933128631922808,0.517986220141467,-0.5478260869565217,24.0,-0.4480300187617261
west2369,-0.1375234521575985,-0.0794871794871795,0.47525528986203147,0.0,0.0,0.46025641025641023,40.0,0.5247447101379685,0.5212270439884839,0.561630373337222,,1.0,-0.06041275797373359
