,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.43227016885553476,0.2871794871794872,0.20853314527503547,0.0,1.0,0.6435897435897436,40.0,0.7914668547249645,0.8693019761540031,0.8618809603618892,0.5,3.0,0.42701688555347095
copt1239,-0.28761726078799255,-0.20512820512820512,0.3257079261739291,0.0,0.0,0.3974358974358974,40.0,0.6742920738260709,0.6939941297820952,0.6995478894650132,-0.2643478260869565,24.0,-0.2983114446529081
czec1258,0.3671669793621013,0.22820512820512823,0.0,1.0,1.0,0.6141025641025641,40.0,1.0,0.8992190059247992,0.859124992718529,0.39826086956521733,24.0,0.36547842401500946
dani1285,0.16960600375234522,0.12051282051282051,0.0,1.0,1.0,0.5602564102564103,40.0,1.0,0.8582872661812069,0.8487607692583364,0.07391304347826086,24.0,0.17298311444652908
dutc1256,0.36097560975609755,0.2538461538461539,0.3727032832909883,0.0,0.0,0.6269230769230769,40.0,0.6272967167090117,0.6764671685792962,0.7208591166043792,0.3956521739130434,24.0,0.3836772983114447
faro1244,0.3786116322701689,0.24615384615384617,0.29651162790697677,0.0,0.0,0.6230769230769231,40.0,0.7034883720930232,0.7242247321435555,0.7658376061421563,0.46347826086956523,24.0,0.3864915572232646
finn1318,0.32138836772983115,0.21282051282051284,0.3124761055180324,0.0,0.0,0.6064102564102564,40.0,0.6875238944819676,0.7101188779137088,0.7524717801325737,0.3017391304347826,24.0,0.34146341463414637
hebr1245,0.20544090056285183,0.13076923076923078,0.4534880348078319,0.0,0.0,0.5653846153846154,40.0,0.5465119651921682,0.6265918377875854,0.6588063505480835,,0.0,0.2409005628517824
hind1269,0.251594746716698,0.17435897435897438,0.08542934575884348,0.0,1.0,0.5871794871794872,40.0,0.9145706542411565,0.862135185110589,0.8268290829001887,,1.0,0.28517823639774864
hung1274,0.37448405253283307,0.2692307692307693,0.3056487168858576,0.0,1.0,0.6346153846153846,40.0,0.6943512831141424,0.7589534473712021,0.768552522551063,0.27391304347826084,24.0,0.39681050656660416
icel1247,0.3831144465290807,0.24871794871794875,0.27557680631451115,0.0,0.0,0.6243589743589744,40.0,0.7244231936854888,0.7534876705515388,0.7553960678343625,0.4547826086956522,24.0,0.3983114446529081
iris1253,-0.06772983114446529,-0.02564102564102564,0.335536805740101,0.0,0.0,0.48717948717948717,40.0,0.664463194259899,0.659055540731876,0.7147620349398833,0.08347826086956521,24.0,-0.0926829268292683
ital1282,-0.06322701688555347,-0.028205128205128206,0.43519093900665806,0.0,0.0,0.4858974358974359,40.0,0.5648090609933419,0.5747069333333481,0.6139424549099434,-0.029565217391304344,24.0,0.006378986866791747
komi1268,0.08686679174484055,0.06153846153846154,0.4656966490299825,0.0,0.0,0.5307692307692308,40.0,0.5343033509700176,0.6189338684248152,0.6535004147221669,0.5,3.0,0.08686679174484055
kore1280,0.350656660412758,0.23076923076923078,0.3510860484544697,0.0,0.0,0.6153846153846154,40.0,0.6489139515455302,0.6048067330250902,0.6799784732437482,,0.0,0.377485928705441
latv1249,0.23470919324577863,0.14871794871794874,0.199970791193545,0.0,0.0,0.5743589743589743,40.0,0.800029208806455,0.7106690186262469,0.7248648828364656,0.40347826086956523,24.0,0.3206378986866792
lith1251,0.07617260787992497,0.05641025641025641,0.4853171774768355,0.0,0.0,0.5282051282051282,40.0,0.5146828225231646,0.7078706992438945,0.7537756758793421,0.20869565217391303,24.0,0.10769230769230771
malt1254,-0.16585365853658537,-0.11282051282051282,0.5598787962261552,0.0,0.0,0.44358974358974357,40.0,0.4401212037738447,0.5481115726670807,0.6419083180091125,-0.009565217391304347,24.0,-0.11707317073170734
mand1415,-0.10000000000000002,-0.07435897435897437,0.5677562326869806,0.0,0.0,0.46282051282051284,40.0,0.4322437673130194,0.49664459808780903,0.5580811589066823,,1.0,-0.07410881801125704
mara1378,0.16697936210131334,0.1076923076923077,0.7006106790542305,0.0,0.0,0.5538461538461539,40.0,0.2993893209457695,0.4753325762083672,0.6881671705550433,,1.0,0.225515947467167
mode1248,0.36641651031894934,0.23333333333333336,0.36882805303857946,0.0,0.0,0.6166666666666667,40.0,0.6311719469614205,0.6299544432471951,0.680619813557186,,0.0,0.39305816135084437
nort2671,0.22363977485928707,0.13333333333333333,0.40150982689053755,0.0,1.0,0.5666666666666667,40.0,0.5984901731094625,0.6825569775065692,0.718221312390079,0.20434782608695648,24.0,0.2206378986866792
nucl1235,0.41050656660412765,0.2794871794871795,0.3552275738972874,0.0,0.0,0.6397435897435897,40.0,0.6447724261027126,0.7162943253100829,0.7183713297422222,,0.0,0.45290806754221397
nucl1301,0.042213883677298315,0.03333333333333333,0.48711578276795675,0.0,1.0,0.5166666666666667,40.0,0.5128842172320432,0.7235958127180739,0.6957268250472775,0.1208695652173913,24.0,0.07673545966228894
nucl1347,-0.07898686679174484,-0.0358974358974359,0.39897910731244063,0.0,0.0,0.48205128205128206,40.0,0.6010208926875593,0.6681863620330546,0.6349332051071771,-0.07217391304347825,24.0,-0.07223264540337712
nucl1643,-0.10056285178236399,-0.06923076923076923,0.29296296296296304,0.0,0.0,0.4653846153846154,40.0,0.707037037037037,0.6141629796905697,0.6305010789860751,,1.0,-0.1052532833020638
poli1260,0.29324577861163226,0.2076923076923077,0.5875571456966805,0.0,0.0,0.6038461538461538,40.0,0.4124428543033195,0.5796101856413516,0.6507303440757364,0.17130434782608694,24.0,0.28724202626641654
port1283,-0.12889305816135085,-0.0717948717948718,0.5067947046434662,0.0,0.0,0.4641025641025641,40.0,0.4932052953565338,0.4985570245172647,0.5609606408038148,-0.0826086956521739,24.0,-0.13189493433395877
russ1263,0.14165103189493433,0.09487179487179487,0.49714424511606936,0.0,0.0,0.5474358974358975,40.0,0.5028557548839306,0.6090318071529951,0.7057525412376048,0.5,3.0,0.23039399624765483
slov1268,0.12720450281425894,0.09743589743589744,0.4402854412233197,0.0,1.0,0.5487179487179488,40.0,0.5597145587766803,0.7615541195103225,0.7538325399877125,0.20608695652173914,24.0,0.22176360225140718
stan1289,-0.052908067542213895,-0.05128205128205128,0.2522568301829035,0.0,0.0,0.47435897435897434,40.0,0.7477431698170964,0.6448744934578207,0.6465906950142924,0.10521739130434782,24.0,-0.009005628517823642
stan1290,-0.12720450281425894,-0.06666666666666667,0.4731105521619355,0.0,0.0,0.4666666666666667,40.0,0.5268894478380645,0.6593387106946959,0.6442563725372847,0.042608695652173914,24.0,-0.11500938086303941
stan1293,-0.1273921200750469,-0.08205128205128207,0.48129911940157205,0.0,0.0,0.45897435897435895,40.0,0.518700880598428,0.516732073044947,0.5750791544114804,-0.07826086956521738,24.0,-0.09737335834896811
stan1318,0.2829268292682927,0.19230769230769232,0.4534880348078319,0.0,1.0,0.5961538461538461,40.0,0.5465119651921682,0.6983866912915611,0.6748623591594782,,1.0,0.2902439024390244
swed1254,-0.1480300187617261,-0.09743589743589744,0.5219249349684132,0.0,0.0,0.4512820512820513,40.0,0.4780750650315868,0.5189647471945416,0.5539003909881992,-0.08086956521739129,24.0,-0.10431519699812385
tami1289,0.27936210131332084,0.19230769230769232,0.3646377893950711,0.0,1.0,0.5961538461538461,40.0,0.6353622106049289,0.7303348419966529,0.7332760564610553,,1.0,0.31688555347091935
telu1262,0.22363977485928707,0.1512820512820513,0.3936409346347234,0.0,1.0,0.5756410256410256,40.0,0.6063590653652766,0.6810271106723902,0.6899440070482115,,1.0,0.30900562851782365
ukra1253,0.4305816135084429,0.2692307692307693,0.2503794778384943,0.0,0.0,0.6346153846153846,40.0,0.7496205221615058,0.7130348468706927,0.7231491296968199,1.0,3.0,0.4455909943714822
viet1252,-0.149906191369606,-0.08717948717948719,0.49975849975849984,0.0,0.0,0.4564102564102564,40.0,0.5002415002415002,0.5194043331146259,0.5727340131373986,-0.21391304347826084,24.0,-0.14671669793621014
wels1247,0.16754221388367735,0.11282051282051282,0.4464340759422727,0.0,0.0,0.5564102564102564,40.0,0.5535659240577273,0.6268635927426229,0.6650729589717813,0.17304347826086955,24.0,0.19287054409005633
west2369,0.23452157598499065,0.1435897435897436,0.3891263057929725,0.0,0.0,0.5717948717948718,40.0,0.6108736942070274,0.5653554518257053,0.6210555502983166,,1.0,0.23621013133208257
