,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.32457786116322707,0.22564102564102564,0.35612118986412056,0.0,1.0,0.6128205128205129,40.0,0.6438788101358794,0.7722854035084884,0.8065689066184907,1.0,3.0,0.37673545966228894
copt1239,-0.2103189493433396,-0.158974358974359,0.3257079261739291,0.0,0.0,0.4205128205128205,40.0,0.6742920738260709,0.6922976455691012,0.7283251256669133,-0.3913043478260869,24.0,-0.2033771106941839
czec1258,0.21200750469043156,0.14102564102564102,0.29076804076804075,0.0,0.0,0.5705128205128205,40.0,0.7092319592319593,0.7839022547849473,0.7924592666118538,0.308695652173913,24.0,0.16378986866791745
dani1285,0.3780487804878049,0.24871794871794875,0.0,1.0,1.0,0.6243589743589744,40.0,1.0,0.8560032686562203,0.830409492583381,0.18173913043478263,24.0,0.3833020637898687
dutc1256,0.19212007504690432,0.13076923076923078,0.5531066683277452,0.0,0.0,0.5653846153846154,40.0,0.4468933316722547,0.5751095638210306,0.6697749452017807,0.3660869565217391,24.0,0.17917448405253283
faro1244,-0.010881801125703567,0.0,0.23329621380846333,0.0,0.0,0.5,40.0,0.7667037861915367,0.716745774847616,0.7592399925376495,0.2756521739130435,24.0,0.02138836772983115
finn1318,0.15140712945590995,0.12051282051282051,0.25087128771856676,0.0,0.0,0.5602564102564103,40.0,0.7491287122814332,0.7432909191105278,0.7757806018010652,0.21652173913043476,24.0,0.16378986866791745
hebr1245,-0.06622889305816136,-0.04102564102564103,0.13707250341997265,0.0,1.0,0.4794871794871795,40.0,0.8629274965800273,0.7174147746798184,0.7448517283991652,,0.0,-0.04840525328330207
hind1269,0.3915572232645404,0.26153846153846155,0.44193222019725564,0.0,0.0,0.6307692307692307,40.0,0.5580677798027444,0.6312499594266273,0.6913281912251533,,1.0,0.40187617260787994
hung1274,0.26622889305816144,0.16666666666666669,0.3056487168858576,0.0,0.0,0.5833333333333334,40.0,0.6943512831141424,0.7183967363204483,0.78584761281938,0.24695652173913044,24.0,0.30637898686679177
icel1247,-0.05572232645403378,-0.01794871794871795,0.17724268867063428,0.0,0.0,0.491025641025641,40.0,0.8227573113293657,0.738413940776984,0.7683285009753986,-0.08869565217391304,24.0,-0.020637898686679177
iris1253,-0.32457786116322707,-0.21282051282051284,0.335536805740101,0.0,0.0,0.3935897435897436,40.0,0.664463194259899,0.6150132134260212,0.6197915686674214,-0.35739130434782607,24.0,-0.27917448405253287
ital1282,-0.20469043151969987,-0.14615384615384616,0.43519093900665806,0.0,0.0,0.4269230769230769,40.0,0.5648090609933419,0.5600890513439765,0.617839323600866,-0.21304347826086956,24.0,-0.16697936210131334
komi1268,0.11857410881801128,0.0794871794871795,0.4656966490299825,0.0,0.0,0.5397435897435897,40.0,0.5343033509700176,0.612970023242657,0.6395089231500226,0.5,3.0,0.04484052532833021
kore1280,0.48105065666041286,0.32820512820512826,0.3835801838610829,0.0,0.0,0.6641025641025641,40.0,0.616419816138917,0.6589415071745278,0.7261479753580491,,0.0,0.48198874296435285
latv1249,0.14183864915572234,0.09743589743589744,0.13319672131147536,0.0,0.0,0.5487179487179488,40.0,0.8668032786885246,0.7239865182690163,0.7557432359861964,0.24086956521739128,24.0,0.15384615384615388
lith1251,0.12701688555347093,0.08205128205128207,0.22561758706655582,0.0,0.0,0.541025641025641,40.0,0.7743824129334441,0.6669976351509427,0.710393969227314,0.20869565217391303,24.0,0.2043151969981239
malt1254,-0.22532833020637902,-0.16410256410256413,0.5244952310169703,0.0,0.0,0.41794871794871796,40.0,0.47550476898302974,0.5195059165495698,0.5602119572759913,-0.15826086956521737,24.0,-0.18630393996247654
mand1415,-0.18424015009380865,-0.12564102564102564,0.5127556596409056,0.0,0.0,0.4371794871794872,40.0,0.4872443403590944,0.52866725037528,0.6000851117246124,,1.0,-0.13602251407129456
mara1378,0.5206378986866792,0.4025641025641026,0.308216619981326,0.0,1.0,0.7012820512820512,40.0,0.691783380018674,0.8457767780341411,0.8590428521899001,,1.0,0.5123827392120076
mode1248,-0.08724202626641653,-0.05128205128205128,0.0820840501351684,0.0,1.0,0.47435897435897434,40.0,0.9179159498648316,0.8059250874017803,0.7860840899346371,,0.0,-0.03489681050656661
nort2671,0.16060037523452161,0.1076923076923077,0.40150982689053755,0.0,0.0,0.5538461538461539,40.0,0.5984901731094625,0.6416562288904784,0.7177152360034124,0.2069565217391304,24.0,0.13939962476547843
nucl1235,0.45028142589118203,0.32051282051282054,0.49596013771864556,0.0,0.0,0.6602564102564102,40.0,0.5040398622813544,0.6296654720776282,0.7051517750990566,,0.0,0.4636022514071295
nucl1301,0.38048780487804884,0.27692307692307694,0.05610985945713973,0.0,1.0,0.6384615384615384,40.0,0.9438901405428602,0.7998118421959081,0.7789329830335173,0.35739130434782607,24.0,0.3795497185741089
nucl1347,-0.3142589118198875,-0.21282051282051284,0.680561803368821,0.0,0.0,0.3935897435897436,40.0,0.319438196631179,0.5138489760550323,0.5485094999761129,-0.3182608695652174,24.0,-0.2658536585365854
nucl1643,0.3630393996247655,0.23846153846153847,0.5625520110957004,0.0,0.0,0.6192307692307693,40.0,0.43744798890429953,0.5851030012699571,0.6983503524195429,,1.0,0.3690431519699813
poli1260,-0.036210131332082555,-0.020512820512820516,0.37593984962406013,0.0,0.0,0.4897435897435897,40.0,0.6240601503759399,0.6372676981043195,0.6563241324151499,0.03826086956521739,24.0,-0.009756097560975611
port1283,-0.2660412757973734,-0.18461538461538463,0.5067947046434662,0.0,0.0,0.4076923076923077,40.0,0.4932052953565338,0.5466695188118045,0.5823278380390562,-0.2539130434782608,24.0,-0.2840525328330206
russ1263,-0.09849906191369608,-0.06923076923076923,0.39824869750800324,0.0,0.0,0.4653846153846154,40.0,0.6017513024919967,0.631372758210194,0.6558215724346173,0.5,3.0,-0.05947467166979363
slov1268,0.11200750469043153,0.0794871794871795,0.1741888968997839,0.0,0.0,0.5397435897435897,40.0,0.8258111031002161,0.8826164345677341,0.843943226069563,0.1826086956521739,24.0,0.08649155722326454
stan1289,-0.19005628517823644,-0.12307692307692308,0.3178082191780823,0.0,0.0,0.43846153846153846,40.0,0.6821917808219178,0.7301752579387656,0.7198282134902286,-0.12608695652173912,24.0,-0.17335834896810506
