,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.4101313320825517,0.27692307692307694,0.0,1.0,1.0,0.6384615384615384,40.0,1.0,0.9287170591904609,0.9107253374518153,0.5,3.0,0.39793621013133207
copt1239,-0.06848030018761728,-0.03846153846153847,0.3257079261739291,0.0,0.0,0.4807692307692308,40.0,0.6742920738260709,0.6939941297820952,0.7097764487419771,-0.03565217391304347,24.0,-0.07110694183864917
czec1258,0.33583489681050666,0.21282051282051284,0.38592221348707206,0.0,1.0,0.6064102564102564,40.0,0.614077786512928,0.8360901226750218,0.8198443267571875,0.3652173913043478,24.0,0.3442776735459663
dani1285,0.44896810506566615,0.32051282051282054,0.0,1.0,1.0,0.6602564102564102,40.0,1.0,0.847688596030457,0.8148483788788089,0.47913043478260864,24.0,0.32720450281425895
dutc1256,0.501688555347092,0.31025641025641026,0.4011805711129983,0.0,0.0,0.6551282051282051,40.0,0.5988194288870017,0.6014862879650081,0.6070597494703912,0.5904347826086956,24.0,0.45009380863039405
faro1244,0.12270168855534712,0.09487179487179487,0.4339887640449438,0.0,0.0,0.5474358974358975,40.0,0.5660112359550562,0.6743969195302778,0.7504503387908149,0.33304347826086955,24.0,0.2206378986866792
finn1318,0.3315196998123828,0.2205128205128205,0.25087128771856676,0.0,0.0,0.6102564102564103,40.0,0.7491287122814332,0.7170978946641465,0.7764274489848915,0.38869565217391305,24.0,0.3339587242026267
hebr1245,0.3136960600375235,0.2153846153846154,0.13707250341997265,0.0,1.0,0.6076923076923076,40.0,0.8629274965800273,0.7770003824644922,0.7884492540146153,,0.0,0.3585365853658537
hind1269,0.350656660412758,0.2230769230769231,0.19436553030303025,0.0,1.0,0.6115384615384616,40.0,0.8056344696969697,0.8166473858545819,0.8005277237100483,,1.0,0.30694183864915575
hung1274,0.37242026266416517,0.25641025641025644,0.3056487168858576,0.0,0.0,0.6282051282051282,40.0,0.6943512831141424,0.7532480093798917,0.7297729668274421,0.31913043478260866,24.0,0.37786116322701696
icel1247,0.21801125703564733,0.14102564102564102,0.17724268867063428,0.0,0.0,0.5705128205128205,40.0,0.8227573113293657,0.7813902944013233,0.7527739719265057,0.27999999999999997,24.0,0.2358348968105066
iris1253,0.15497185741088182,0.10512820512820513,0.5288872628443004,0.0,0.0,0.5525641025641026,40.0,0.47111273715569957,0.5730863585381034,0.6580124492804188,0.049565217391304345,24.0,0.16998123827392123
ital1282,-0.030206378986866796,-0.007692307692307693,0.530518351282912,0.0,0.0,0.49615384615384617,40.0,0.46948164871708803,0.585478259049789,0.6089663396017304,-0.050434782608695654,24.0,0.09512195121951221
komi1268,0.18836772983114447,0.12564102564102564,0.4656966490299825,0.0,0.0,0.5628205128205128,40.0,0.5343033509700176,0.5990900067396532,0.6851050381056915,0.5,3.0,0.1330206378986867
kore1280,0.3896810506566604,0.2794871794871795,0.3835801838610829,0.0,1.0,0.6397435897435897,40.0,0.616419816138917,0.7058372502002377,0.8073412239874626,,0.0,0.39962476547842407
latv1249,0.2061913696060038,0.12307692307692308,0.13319672131147536,0.0,0.0,0.5615384615384615,40.0,0.8668032786885246,0.8040319678676972,0.7909938387879663,0.32956521739130434,24.0,0.21519699812382742
