,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.43733583489681055,0.2743589743589744,0.0,1.0,1.0,0.6371794871794871,40.0,1.0,0.8610855637920858,0.8991995053370406,0.5,3.0,0.4615384615384616
copt1239,-0.14146341463414636,-0.09487179487179487,0.3257079261739291,0.0,0.0,0.45256410256410257,40.0,0.6742920738260709,0.7512778548883727,0.7155702221300335,-0.2269565217391304,24.0,-0.12195121951219516
czec1258,0.32251407129455917,0.2,0.3673606789739335,0.0,1.0,0.6,40.0,0.6326393210260665,0.8011325096883307,0.8280453040892992,0.37130434782608696,24.0,0.3692307692307693
dani1285,0.47335834896810514,0.3358974358974359,0.0,1.0,1.0,0.6679487179487179,40.0,1.0,0.847688596030457,0.7967230680090189,0.3817391304347826,24.0,0.45159474671669797
dutc1256,0.4112570356472796,0.24615384615384617,0.4011805711129983,0.0,0.0,0.6230769230769231,40.0,0.5988194288870017,0.6014674416170191,0.659971778261394,0.5243478260869565,24.0,0.4470919324577862
faro1244,0.13564727954971859,0.1,0.23329621380846333,0.0,0.0,0.55,40.0,0.7667037861915367,0.7105658826450545,0.7774939902687891,0.36347826086956525,24.0,0.22138836772983117
finn1318,0.26247654784240154,0.1794871794871795,0.25087128771856676,0.0,0.0,0.5897435897435898,40.0,0.7491287122814332,0.7170978946641465,0.7729298417817566,0.34347826086956523,24.0,0.3363977485928706
hebr1245,0.19343339587242028,0.13076923076923078,0.13707250341997265,0.0,1.0,0.5653846153846154,40.0,0.8629274965800273,0.7999731429251259,0.7948135150813088,,0.0,0.21238273921200754
hind1269,0.3951219512195122,0.2692307692307693,0.44193222019725564,0.0,1.0,0.6346153846153846,40.0,0.5580677798027444,0.755813628413148,0.7670280994143324,,1.0,0.3975609756097561
hung1274,0.37504690431519705,0.258974358974359,0.3056487168858576,0.0,1.0,0.6294871794871795,40.0,0.6943512831141424,0.7853544446862367,0.7973766442227004,0.33826086956521734,24.0,0.47204502814258914
icel1247,0.1478424015009381,0.10256410256410256,0.17724268867063428,0.0,0.0,0.5512820512820513,40.0,0.8227573113293657,0.7778990972321693,0.7253268488716582,0.1643478260869565,24.0,0.20656660412757977
iris1253,-0.18236397748592875,-0.11025641025641025,0.5288872628443004,0.0,0.0,0.44487179487179485,40.0,0.47111273715569957,0.5792008637363905,0.5927354678137035,-0.3043478260869565,24.0,-0.16979362101313325
ital1282,-0.1050656660412758,-0.07435897435897437,0.530518351282912,0.0,0.0,0.46282051282051284,40.0,0.46948164871708803,0.5425852199780873,0.6048358139521798,-0.19913043478260867,24.0,-0.029455909943714824
komi1268,0.19136960600375236,0.10512820512820513,0.4656966490299825,0.0,0.0,0.5525641025641026,40.0,0.5343033509700176,0.5990900067396532,0.6810086462768881,0.5,3.0,0.17748592870544094
kore1280,0.4478424015009382,0.3128205128205128,0.3835801838610829,0.0,1.0,0.6564102564102564,40.0,0.616419816138917,0.7322960363000401,0.7776905790561633,,0.0,0.4191369606003753
latv1249,0.17542213883677302,0.11794871794871795,0.13319672131147536,0.0,0.0,0.558974358974359,40.0,0.8668032786885246,0.8159324019950962,0.8105989279558925,0.2826086956521739,24.0,0.26191369606003756
lith1251,0.16923076923076924,0.1,0.22561758706655582,0.0,0.0,0.55,40.0,0.7743824129334441,0.7693666426245206,0.7341937306351752,0.28521739130434776,24.0,0.21613508442776738
malt1254,-0.1307692307692308,-0.09230769230769231,0.5244952310169703,0.0,0.0,0.45384615384615384,40.0,0.47550476898302974,0.547179667256938,0.6288351398445255,-0.03739130434782608,24.0,-0.06941838649155724
mand1415,0.06941838649155724,0.04871794871794872,0.5435825435825438,0.0,0.0,0.5243589743589744,40.0,0.4564174564174563,0.5424863363458248,0.6265000529999771,,1.0,0.07354596622889306
mara1378,0.4932457786116323,0.38974358974358975,0.308216619981326,0.0,1.0,0.6948717948717948,40.0,0.691783380018674,0.8216435211872254,0.7923142630715412,,1.0,0.40900562851782374
mode1248,0.05478424015009382,0.02564102564102564,0.30086802581234645,0.0,1.0,0.5128205128205128,40.0,0.6991319741876535,0.7400884715751221,0.7440499649874738,,0.0,0.11388367729831146
nort2671,0.29868667917448405,0.18717948717948718,0.40150982689053755,0.0,1.0,0.5935897435897436,40.0,0.5984901731094625,0.7044988978101748,0.7221227150614552,0.3208695652173913,24.0,0.3251407129455911
nucl1235,0.45384615384615384,0.2974358974358975,0.49596013771864556,0.0,0.0,0.6487179487179487,40.0,0.5040398622813544,0.7012910611696741,0.7393396370061559,,0.0,0.40900562851782374
nucl1301,0.3851782363977487,0.2641025641025641,0.05610985945713973,0.0,1.0,0.632051282051282,40.0,0.9438901405428602,0.8047494324421162,0.7988838476860983,0.41826086956521735,24.0,0.38348968105065667
nucl1347,-0.1459662288930582,-0.1,0.680561803368821,0.0,0.0,0.45,40.0,0.319438196631179,0.5067019895751896,0.5503283894242806,-0.17130434782608694,24.0,-0.09906191369606004
