,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.36116322701688564,0.2692307692307693,0.08489410495076219,0.0,1.0,0.6346153846153846,40.0,0.9151058950492378,0.9367613898402238,0.9255940319886344,0.5,3.0,0.2711069418386492
copt1239,-0.04746716697936211,-0.03076923076923077,0.3257079261739291,0.0,0.0,0.4846153846153846,40.0,0.6742920738260709,0.6939941297820952,0.7097764487419771,-0.002608695652173913,24.0,-0.06960600375234523
czec1258,0.2352720450281426,0.15384615384615388,0.38592221348707206,0.0,1.0,0.5769230769230769,40.0,0.614077786512928,0.8236983975558209,0.8064512133478459,0.29913043478260865,24.0,0.1979362101313321
dani1285,0.426266416510319,0.3,0.3845733041575493,0.0,1.0,0.65,40.0,0.6154266958424507,0.690278689278134,0.7578238331944486,0.49478260869565216,24.0,0.3384615384615385
dutc1256,0.5303939962476548,0.35384615384615387,0.7194186690138847,0.0,0.0,0.676923076923077,40.0,0.2805813309861152,0.48081029567809025,0.5670711460897979,0.64,24.0,0.402439024390244
faro1244,0.11969981238273922,0.08205128205128207,0.4339887640449438,0.0,0.0,0.541025641025641,40.0,0.5660112359550562,0.6791108981386746,0.7471956527774667,0.2965217391304348,24.0,0.19962476547842406
finn1318,0.29305816135084434,0.2,0.25087128771856676,0.0,0.0,0.6,40.0,0.7491287122814332,0.7430840815475671,0.7847339165437319,0.37043478260869556,24.0,0.23395872420262667
hebr1245,0.30168855534709194,0.19743589743589746,0.5677562326869806,0.0,1.0,0.5987179487179487,40.0,0.4322437673130194,0.6400848934531068,0.6983023705112757,,0.0,0.3849906191369606
hind1269,0.1962476547842402,0.12564102564102564,0.19436553030303025,0.0,0.0,0.5628205128205128,40.0,0.8056344696969697,0.6950967001146674,0.7598151169657897,,1.0,0.2056285178236398
hung1274,0.3525328330206379,0.2512820512820513,0.0719735592981963,0.0,1.0,0.6256410256410256,40.0,0.9280264407018037,0.8352716090232614,0.8215517938224735,0.2895652173913043,24.0,0.32213883677298316
icel1247,0.1885553470919325,0.13076923076923078,0.36893266176895206,0.0,0.0,0.5653846153846154,40.0,0.631067338231048,0.7471140581826579,0.7604787214085249,0.2791304347826086,24.0,0.20487804878048785
iris1253,0.21181988742964356,0.14615384615384616,0.5288872628443004,0.0,0.0,0.573076923076923,40.0,0.47111273715569957,0.5624891819835133,0.6856420875564274,0.11652173913043477,24.0,0.3067542213883678
ital1282,0.00375234521575985,0.0025641025641025645,0.530518351282912,0.0,0.0,0.5012820512820513,40.0,0.46948164871708803,0.6039239724123706,0.6441107148657711,0.05130434782608695,24.0,0.11969981238273922
komi1268,0.1652908067542214,0.11538461538461539,0.4656966490299825,0.0,0.0,0.5576923076923077,40.0,0.5343033509700176,0.6202837062028846,0.69719277044333,-0.5,3.0,0.0981238273921201
kore1280,0.29849906191369613,0.2153846153846154,0.3835801838610829,0.0,1.0,0.6076923076923076,40.0,0.616419816138917,0.7003814250080149,0.8067777263012132,,0.0,0.3596622889305817
latv1249,0.1133208255159475,0.07692307692307694,0.38690609861730463,0.0,0.0,0.5384615384615384,40.0,0.6130939013826954,0.7219698785266258,0.734783946075051,0.21652173913043476,24.0,0.1652908067542214
lith1251,0.05947467166979363,0.028205128205128206,0.3709297103076577,0.0,0.0,0.514102564102564,40.0,0.6290702896923422,0.733673932531782,0.7212190688511803,0.11652173913043477,24.0,0.13095684803001878
malt1254,-0.13095684803001878,-0.10512820512820513,0.5598787962261552,0.0,0.0,0.44743589743589746,40.0,0.4401212037738447,0.5449490329126584,0.5956406209048896,-0.034782608695652174,24.0,0.057223264540337715
mand1415,0.18968105065666047,0.11794871794871795,0.38765928906773983,0.0,1.0,0.558974358974359,40.0,0.6123407109322602,0.7017645938492191,0.7108205900333618,,1.0,0.20281425891181992
mara1378,0.28818011257035653,0.2205128205128205,0.5024637127578305,0.0,0.0,0.6102564102564103,40.0,0.49753628724216953,0.43621954258339324,0.518327622523304,,1.0,0.19343339587242028
mode1248,0.0427767354596623,0.03076923076923077,0.30086802581234645,0.0,0.0,0.5153846153846153,40.0,0.6991319741876535,0.6880464847542115,0.6995888951280632,,0.0,0.1050656660412758
nort2671,0.200750469043152,0.13846153846153847,0.36942070275403605,0.0,1.0,0.5692307692307692,40.0,0.630579297245964,0.7449510051665117,0.7599649175780532,0.3,24.0,0.1384615384615385
nucl1235,0.2675422138836773,0.1794871794871795,0.3738393686165274,0.0,1.0,0.5897435897435898,40.0,0.6261606313834726,0.6878657824269406,0.6955682814290777,,0.0,0.1984990619136961
nucl1301,0.2437148217636023,0.16410256410256413,0.05610985945713973,0.0,1.0,0.5820512820512821,40.0,0.9438901405428602,0.777614166530461,0.7691804866876145,0.2295652173913043,24.0,0.24465290806754228
nucl1347,0.028517823639774863,0.005128205128205129,0.39897910731244063,0.0,0.0,0.5025641025641026,40.0,0.6010208926875593,0.5583792809556649,0.5889674451048211,-0.02608695652173913,24.0,0.026641651031894937
nucl1643,0.31313320825515956,0.21025641025641026,0.0,1.0,1.0,0.6051282051282051,40.0,1.0,0.8938690082092574,0.8452300523057106,,1.0,0.37223264540337714
poli1260,0.06135084427767356,0.05128205128205128,0.37593984962406013,0.0,0.0,0.5256410256410257,40.0,0.6240601503759399,0.6877882272985115,0.7135351232370309,0.2208695652173913,24.0,0.125328330206379
port1283,0.15628517823639776,0.09743589743589744,0.5464780491487676,0.0,0.0,0.5487179487179488,40.0,0.4535219508512325,0.5189650723250958,0.572133978431874,0.13391304347826086,24.0,0.2577861163227017
russ1263,0.030956848030018764,0.015384615384615385,0.4385392865342356,0.0,0.0,0.5076923076923077,40.0,0.5614607134657644,0.579836865875186,0.6558108936759628,0.5,3.0,0.0906191369606004
slov1268,0.33545966228893065,0.21794871794871798,0.1741888968997839,0.0,1.0,0.6089743589743589,40.0,0.8258111031002161,0.843678402183047,0.8314728070367593,0.38956521739130434,24.0,0.2983114446529081
stan1289,0.30300187617260793,0.2076923076923077,0.3178082191780823,0.0,0.0,0.6038461538461538,40.0,0.6821917808219178,0.6861214910624233,0.716355757815043,0.3904347826086956,24.0,0.38630393996247664
stan1290,-0.06397748592870545,-0.03076923076923077,0.47041677774815616,0.0,0.0,0.4846153846153846,40.0,0.5295832222518438,0.6131081762478344,0.6584668128706342,-0.05739130434782608,24.0,0.09362101313320827
stan1293,0.12270168855534712,0.06923076923076923,0.48963342530547904,0.0,0.0,0.5346153846153846,40.0,0.510366574694521,0.5283410735515767,0.5926600794059517,0.20956521739130432,24.0,0.23789868667917452
stan1318,0.29493433395872426,0.2076923076923077,0.3848759221998659,0.0,0.0,0.6038461538461538,40.0,0.6151240778001341,0.5938599881915492,0.6461649745414871,,1.0,0.3397748592870544
swed1254,0.08855534709193248,0.06410256410256411,0.5219249349684132,0.0,0.0,0.532051282051282,40.0,0.4780750650315868,0.6000633990939304,0.6325785013214139,0.21826086956521737,24.0,0.1153846153846154
tami1289,0.226266416510319,0.1512820512820513,0.3646377893950711,0.0,0.0,0.5756410256410256,40.0,0.6353622106049289,0.7177289872578468,0.7503671190897826,,1.0,0.20712945590994375
telu1262,0.23977485928705441,0.17435897435897438,0.11803350970017629,0.0,1.0,0.5871794871794872,40.0,0.8819664902998237,0.7706540041732702,0.7858800545028441,,1.0,0.21951219512195125
ukra1253,0.30637898686679177,0.2076923076923077,0.2503794778384943,0.0,1.0,0.6038461538461538,40.0,0.7496205221615058,0.8738607508324641,0.8508857742428967,0.5,3.0,0.20243902439024392
viet1252,-0.00600375234521576,-0.01282051282051282,0.49975849975849984,0.0,0.0,0.4935897435897436,40.0,0.5002415002415002,0.4988752313978274,0.5435076431886742,-0.08956521739130434,24.0,-0.01575984990619137
wels1247,0.2427767354596623,0.17435897435897438,0.1600722578834754,0.0,1.0,0.5871794871794872,40.0,0.8399277421165245,0.7220977627672499,0.7239236504560278,0.1434782608695652,24.0,0.300562851782364
west2369,0.1801125703564728,0.12051282051282051,0.4101522842639595,0.0,1.0,0.5602564102564103,40.0,0.5898477157360404,0.8129290759960315,0.8131157768973307,,1.0,0.24727954971857413
