,spearman_rho,kendall_tau,regret@1,top1_acc,top3_acc,pairwise_acc,n_sources,ndcg@1,ndcg@3,ndcg@5,spearman_rho_same_script,n_same_script_sources,spearman_rho_size_resid
bela1254,0.3407129455909944,0.23333333333333336,0.08489410495076219,0.0,1.0,0.6166666666666667,40.0,0.9151058950492378,0.85203246273103,0.8911008313344683,0.5,3.0,0.28630393996247655
copt1239,-0.08930581613508444,-0.05384615384615385,0.3257079261739291,0.0,0.0,0.47307692307692306,40.0,0.6742920738260709,0.6939941297820952,0.7097764487419771,-0.046956521739130425,24.0,-0.08611632270168856
czec1258,0.2538461538461539,0.1717948717948718,0.38592221348707206,0.0,1.0,0.5858974358974359,40.0,0.614077786512928,0.8229907258185022,0.7945676077236085,0.3078260869565217,24.0,0.24352720450281426
dani1285,0.3587242026266417,0.24615384615384617,0.0,1.0,1.0,0.6230769230769231,40.0,1.0,0.8356611368544549,0.8059247660061315,0.4060869565217391,24.0,0.301313320825516
dutc1256,0.47560975609756106,0.31025641025641026,0.07770145331224576,0.0,1.0,0.6551282051282051,40.0,0.9222985466877542,0.7043498081914364,0.7944400415214669,0.608695652173913,24.0,0.3585365853658537
faro1244,0.21463414634146347,0.1435897435897436,0.4339887640449438,0.0,0.0,0.5717948717948718,40.0,0.5660112359550562,0.7219883447279947,0.748450832334118,0.42956521739130427,24.0,0.20825515947467169
finn1318,0.2774859287054409,0.18974358974358974,0.25087128771856676,0.0,0.0,0.5948717948717949,40.0,0.7491287122814332,0.7430840815475671,0.7890090296282258,0.35913043478260864,24.0,0.23602251407129457
hebr1245,0.31632270168855536,0.2153846153846154,0.4670947030497592,0.0,1.0,0.6076923076923076,40.0,0.5329052969502408,0.7263596130168926,0.7430889024751287,,0.0,0.3292682926829269
hind1269,0.16435272045028146,0.09743589743589744,0.19436553030303025,0.0,1.0,0.5487179487179488,40.0,0.8056344696969697,0.7937078929175574,0.7677634089708913,,1.0,0.17692307692307696
hung1274,0.34840525328330213,0.24615384615384617,0.2121214966433501,0.0,0.0,0.6230769230769231,40.0,0.7878785033566499,0.7749681638857078,0.7931242861879504,0.31565217391304345,24.0,0.2560975609756098
