,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.5885627530364372,0.1935926773455377,0.3982056590752243,0.380071599045346,0.3025866276232308,0.3151779230210603,0.370604781997187,0.3119457485654668,0.2430689877498388,0.361439588688946,0.3086386003280481,0.3928398645379777,0.3346322454943984,0.412180052956752,0.4170890658942795,0.4332514332514332,0.4577922077922078,0.3024754153950492,0.3154106689246401,0.3640776699029126,0.3193069306930693,0.360062893081761,0.4086905460951262,0.4332161687170474,0.3099331423113658,0.2319228709159078,0.5613472333600642,0.327212020033389,0.4803063457330416,0.4310344827586206,0.268652561247216,0.3208204334365325,0.2774750227066303,0.4442877291960507,0.3681481481481481,0.3232028053769725,0.4053497942386831,0.5136921624173749,0.3558406482106684,0.4327323162274618,0.3758556316116988
copt1239,0.3648785425101215,0.7670480549199085,0.3043478260869565,0.2971360381861575,0.2537823328452904,0.2298474945533769,0.3424753867791842,0.2801251956181533,0.1753707285622179,0.3172236503856041,0.2843083652268999,0.3313981615868408,0.2669264490988797,0.4086496028243601,0.3975380159304851,0.389025389025389,0.4051948051948052,0.2736520854526958,0.2506350550381033,0.2233009708737864,0.2698019801980198,0.3561320754716981,0.3435114503816794,0.3936731107205624,0.275549188156638,0.206748794858061,0.3777064955894146,0.2732331663884251,0.3358862144420131,0.3155573376102646,0.2332962138084632,0.2658668730650155,0.2420526793823796,0.3758815232722144,0.3059259259259259,0.3021624780829924,0.3662551440329218,0.3701605288007554,0.3139770425388251,0.3495145631067961,0.3061605476042315
czec1258,0.4326923076923077,0.1638443935926773,0.639751552795031,0.3472553699284009,0.2611029770619814,0.2650689905591866,0.3670886075949367,0.2983828899321857,0.2392005157962604,0.3156812339331619,0.263531984691088,0.3642960812772133,0.31660983925962,0.4095322153574581,0.4554670528602462,0.4095004095004095,0.4376623376623376,0.2990844354018311,0.2768839966130398,0.3616504854368932,0.3059405940594059,0.3545597484276729,0.3828537874339401,0.4156414762741652,0.3013371537726839,0.2538832351365827,0.5773857257417803,0.2704507512520868,0.4184901531728665,0.4603047313552526,0.2396993318485523,0.2898606811145511,0.2643051771117166,0.38787023977433,0.3148148148148148,0.336645236703682,0.4238683127572016,0.3942398489140699,0.3470627954085077,0.4445214979195562,0.3652769135034225
dani1285,0.2889676113360324,0.0613272311212814,0.3188405797101449,0.649164677804296,0.3567593948267447,0.3500363108206245,0.3459915611814346,0.2065727699530516,0.1321727917472598,0.3398457583547558,0.3288682340076544,0.3178519593613933,0.3068679980516318,0.3195057369814651,0.1223750905141202,0.3693693693693693,0.4077922077922078,0.2702611054594778,0.0575783234546994,0.2669902912621359,0.1658415841584158,0.3474842767295597,0.2971227246036406,0.4068541300527241,0.2927411652340019,0.0755222281735404,0.4290296712109062,0.3027267668336115,0.2707877461706783,0.3356054530874098,0.2544543429844098,0.278250773993808,0.2833787465940054,0.0552421250587682,0.44,0.2255990648743425,0.2901234567901234,0.2865911237016053,0.2734638757596219,0.3495145631067961,0.1101431238332296
dutc1256,0.2322874493927125,0.0535469107551487,0.3105590062111801,0.3204057279236277,0.6081015129331381,0.218954248366013,0.2883263009845288,0.1810119979134063,0.1289490651192779,0.3161953727506427,0.1990158556588299,0.2409288824383164,0.2903068679980516,0.2815533980582524,0.1752353367125271,0.303030303030303,0.3584415584415584,0.1854866056290268,0.0580016934801016,0.308252427184466,0.1351485148514851,0.2955974842767295,0.2724603640634175,0.4595782073813708,0.2583572110792741,0.0696304231387252,0.3712910986367281,0.2721202003338898,0.2166301969365426,0.2882919005613472,0.268652561247216,0.2712848297213622,0.2752043596730245,0.0385519511048425,0.2918518518518518,0.2437171244886031,0.4238683127572016,0.2053824362606232,0.2437542201215395,0.1969486823855755,0.1518357187305538
faro1244,0.3466135458167331,0.18518518518518517,0.31266149870801035,0.2898550724637681,0.22697674418604652,0.3238993710691824,0.32253086419753085,0.26885245901639343,0.25590062111801243,0.27715736040609135,0.2515605493133583,0.24671669793621012,0.2603550295857988,0.4165202108963093,0.4444444444444444,0.3563748079877112,0.3614457831325301,0.24946236559139784,0.32460732984293195,0.32524271844660196,0.2945205479452055,0.3213751868460389,0.3408018867924528,0.35555555555555557,0.276003276003276,0.27640449438202247,0.3498402555910543,0.23798882681564246,0.34075723830734966,0.27103559870550165,0.20110803324099724,0.23276633840644584,0.24164810690423164,0.3693570451436389,0.28970331588132636,0.3068181818181818,0.40585774058577406,0.3567251461988304,0.3460648148148148,0.29460093896713613,0.3318435754189944
finn1318,0.3207171314741036,0.15009746588693956,0.22868217054263565,0.24154589371980675,0.24186046511627907,0.1580188679245283,0.33487654320987653,0.2633879781420765,0.24099378881987576,0.28426395939086296,0.2846441947565543,0.30956848030018763,0.24753451676528598,0.35500878734622143,0.4738955823293173,0.31643625192012287,0.35240963855421686,0.2523297491039427,0.3010471204188482,0.33495145631067963,0.2671232876712329,0.3273542600896861,0.30424528301886794,0.40555555555555556,0.24242424242424243,0.23146067415730337,0.43130990415335463,0.24581005586592178,0.36971046770601335,0.2766990291262136,0.21052631578947367,0.21665174574753804,0.2182628062360802,0.3960328317373461,0.3612565445026178,0.3181818181818182,0.45188284518828453,0.3258145363408521,0.2951388888888889,0.3227699530516432,0.3787709497206704
hebr1245,0.25,0.14035087719298245,0.1421188630490956,0.17270531400966183,0.19534883720930232,0.10141509433962265,0.22530864197530864,0.2907103825136612,0.24099378881987576,0.23045685279187816,0.21785268414481898,0.26172607879924953,0.1804733727810651,0.21441124780316345,0.42168674698795183,0.23809523809523808,0.28012048192771083,0.21505376344086022,0.3010471204188482,0.18446601941747573,0.22015655577299412,0.24962630792227206,0.2617924528301887,0.29814814814814816,0.19246519246519248,0.2247191011235955,0.3514376996805112,0.19441340782122904,0.27060133630289535,0.22653721682847897,0.18227146814404432,0.1683079677708147,0.1603563474387528,0.36388508891928867,0.2774869109947644,0.2534090909090909,0.24267782426778242,0.25647451963241436,0.21875,0.25821596244131456,0.32737430167597764
hind1269,0.2958167330677291,0.14035087719298245,0.19767441860465115,0.22946859903381642,0.24186046511627907,0.13128930817610063,0.29012345679012347,0.26010928961748636,0.4546583850931677,0.27715736040609135,0.24656679151061173,0.3076923076923077,0.22485207100591717,0.30052724077328646,0.47121820615796517,0.31490015360983103,0.3373493975903614,0.25017921146953404,0.3010471204188482,0.28640776699029125,0.25440313111545987,0.32286995515695066,0.26297169811320753,0.37962962962962965,0.2325962325962326,0.2292134831460674,0.43130990415335463,0.2424581005586592,0.3262806236080178,0.26618122977346276,0.20997229916897506,0.21038495971351837,0.21269487750556793,0.387140902872777,0.34554973821989526,0.31022727272727274,0.4309623430962343,0.2957393483709273,0.27314814814814814,0.31572769953051644,0.376536312849162
hung1274,0.3247011952191235,0.15009746588693956,0.22997416020671835,0.24396135265700483,0.2567441860465116,0.15487421383647798,0.2916666666666667,0.26557377049180325,0.24099378881987576,0.3715736040609137,0.2877652933832709,0.3236397748592871,0.2504930966469428,0.37258347978910367,0.4779116465863454,0.31643625192012287,0.37349397590361444,0.2523297491039427,0.3010471204188482,0.3276699029126214,0.273972602739726,0.33183856502242154,0.32193396226415094,0.4,0.2497952497952498,0.2348314606741573,0.43929712460063897,0.2748603351955307,0.37193763919821826,0.2928802588996764,0.22437673130193905,0.21844225604297224,0.22160356347438753,0.3960328317373461,0.3612565445026178,0.3215909090909091,0.4435146443514644,0.34252297410192145,0.2951388888888889,0.33098591549295775,0.376536312849162
icel1247,0.3745019920318725,0.15009746588693956,0.3165374677002584,0.2971014492753623,0.27348837209302324,0.22641509433962265,0.3549382716049383,0.28743169398907104,0.25217391304347825,0.3532994923857868,0.31335830212234705,0.34146341463414637,0.29191321499013806,0.44991212653778556,0.4899598393574297,0.38402457757296465,0.4186746987951807,0.2810035842293907,0.3045375218150087,0.3592233009708738,0.30919765166340507,0.38266068759342303,0.3490566037735849,0.46296296296296297,0.29811629811629814,0.2797752808988764,0.4584664536741214,0.2837988826815642,0.40311804008908686,0.3454692556634304,0.25706371191135735,0.25962399283795884,0.23942093541202672,0.3960328317373461,0.3769633507853403,0.34545454545454546,0.4560669456066946,0.3943191311612364,0.33217592592592593,0.3615023474178404,0.376536312849162
iris1253,0.26693227091633465,0.14230019493177387,0.16666666666666666,0.19202898550724637,0.21209302325581394,0.11084905660377359,0.2330246913580247,0.21420765027322405,0.24099378881987576,0.25583756345177666,0.22846441947565543,0.3048780487804878,0.19822485207100593,0.2530755711775044,0.42570281124497994,0.2565284178187404,0.3042168674698795,0.21863799283154123,0.3010471204188482,0.1941747572815534,0.22504892367906065,0.2705530642750374,0.2617924528301887,0.32222222222222224,0.2153972153972154,0.22696629213483147,0.3753993610223642,0.2245810055865922,0.28507795100222716,0.24190938511326862,0.20055401662049863,0.18800358102059087,0.17371937639198218,0.37140902872777015,0.30017452006980805,0.2534090909090909,0.2594142259414226,0.27151211361737676,0.23032407407407407,0.2828638497652582,0.32737430167597764
ital1282,0.3555776892430279,0.15107212475633527,0.26098191214470284,0.2463768115942029,0.2874418604651163,0.16981132075471697,0.2993827160493827,0.273224043715847,0.2422360248447205,0.3269035532994924,0.2833957553058677,0.3320825515947467,0.47041420118343197,0.4182776801405975,0.4886211512717537,0.33947772657450076,0.3795180722891566,0.2530465949820789,0.3010471204188482,0.3179611650485437,0.2847358121330724,0.34379671150971597,0.3313679245283019,0.412962962962963,0.29811629811629814,0.24157303370786518,0.4472843450479233,0.2759776536312849,0.40200445434298443,0.30258899676375406,0.31800554016620497,0.25872873769024174,0.22939866369710468,0.3960328317373461,0.3647469458987784,0.3261363636363636,0.4225941422594142,0.36758563074352546,0.2951388888888889,0.3415492957746479,0.376536312849162
komi1268,0.250996015936255,0.14132553606237816,0.1421188630490956,0.17270531400966183,0.19534883720930232,0.10141509433962265,0.22530864197530864,0.20546448087431693,0.24099378881987576,0.23045685279187816,0.21785268414481898,0.26172607879924953,0.1804733727810651,0.21441124780316345,0.42168674698795183,0.23809523809523808,0.28012048192771083,0.21505376344086022,0.3010471204188482,0.18446601941747573,0.22015655577299412,0.24962630792227206,0.2617924528301887,0.29814814814814816,0.19246519246519248,0.2247191011235955,0.3514376996805112,0.19776536312849163,0.26948775055679286,0.22653721682847897,0.18227146814404432,0.1683079677708147,0.16146993318485522,0.37140902872777015,0.2774869109947644,0.2534090909090909,0.24267782426778242,0.2531328320802005,0.21875,0.25821596244131456,0.32737430167597764
kore1280,0.22211155378486055,0.13840155945419103,0.14082687338501293,0.1388888888888889,0.19534883720930232,0.09984276729559749,0.1882716049382716,0.1825136612021858,0.24099378881987576,0.21218274111675126,0.20848938826466917,0.24296435272045028,0.17258382642998027,0.18629173989455183,0.4685408299866131,0.21044546850998463,0.24849397590361447,0.2,0.3010471204188482,0.2354368932038835,0.20058708414872797,0.2227204783258595,0.25943396226415094,0.3537037037037037,0.18427518427518427,0.22696629213483147,0.28115015974440893,0.17653631284916202,0.23051224944320714,0.2022653721682848,0.17506925207756233,0.1611459265890779,0.12806236080178174,0.3433652530779754,0.2356020942408377,0.2909090909090909,0.3682008368200837,0.23893065998329155,0.22916666666666666,0.2323943661971831,0.35977653631284917
latv1249,0.3605577689243028,0.14230019493177387,0.30749354005167956,0.28019323671497587,0.2725581395348837,0.22169811320754718,0.3533950617283951,0.2896174863387978,0.25217391304347825,0.3532994923857868,0.31835205992509363,0.33771106941838647,0.28007889546351084,0.45694200351493847,0.4899598393574297,0.3870967741935484,0.4246987951807229,0.2802867383512545,0.3010471204188482,0.3300970873786408,0.30039138943248533,0.3811659192825112,0.3231132075471698,0.4537037037037037,0.3022113022113022,0.27415730337078653,0.4584664536741214,0.2849162011173184,0.39198218262806234,0.3470873786407767,0.25872576177285317,0.25783348254252464,0.23496659242761692,0.39466484268125857,0.38219895287958117,0.3488636363636364,0.4225941422594142,0.3943191311612364,0.32407407407407407,0.35563380281690143,0.376536312849162
lith1251,0.3565737051792829,0.15009746588693956,0.2971576227390181,0.2717391304347826,0.27069767441860465,0.20911949685534592,0.3410493827160494,0.2896174863387978,0.25217391304347825,0.3522842639593909,0.317103620474407,0.33677298311444653,0.2781065088757396,0.45694200351493847,0.4899598393574297,0.3794162826420891,0.42168674698795183,0.27598566308243727,0.3019197207678883,0.2961165048543689,0.3082191780821918,0.3781763826606876,0.35141509433962265,0.4388888888888889,0.2972972972972973,0.27415730337078653,0.45686900958466453,0.28268156424581004,0.3819599109131403,0.3446601941747573,0.25263157894736843,0.24977618621307074,0.23162583518930957,0.3953488372093023,0.38219895287958117,0.3465909090909091,0.4225941422594142,0.39598997493734334,0.3136574074074074,0.3532863849765258,0.376536312849162
malt1254,0.29780876494023906,0.14230019493177387,0.20284237726098192,0.22342995169082125,0.24093023255813953,0.13757861635220126,0.28703703703703703,0.26010928961748636,0.24099378881987576,0.27715736040609135,0.24656679151061173,0.30393996247654786,0.22485207100591717,0.29701230228471004,0.46987951807228917,0.31490015360983103,0.33433734939759036,0.25089605734767023,0.3010471204188482,0.2815533980582524,0.25440313111545987,0.3213751868460389,0.2617924528301887,0.37592592592592594,0.23095823095823095,0.22696629213483147,0.43130990415335463,0.2435754189944134,0.3262806236080178,0.26618122977346276,0.20941828254847644,0.20680393912264997,0.2071269487750557,0.39466484268125857,0.3403141361256545,0.31022727272727274,0.40585774058577406,0.29406850459482037,0.27199074074074076,0.31338028169014087,0.376536312849162
mand1415,0.25199203187250996,0.17446393762183235,0.1421188630490956,0.17270531400966183,0.19534883720930232,0.10141509433962265,0.22685185185185186,0.20546448087431693,0.24099378881987576,0.23045685279187816,0.21785268414481898,0.26172607879924953,0.1804733727810651,0.21441124780316345,0.42168674698795183,0.23809523809523808,0.28012048192771083,0.21505376344086022,0.3970331588132635,0.18446601941747573,0.22015655577299412,0.24962630792227206,0.2617924528301887,0.29814814814814816,0.19246519246519248,0.27640449438202247,0.3514376996805112,0.19776536312849163,0.27060133630289535,0.22653721682847897,0.18227146814404432,0.1683079677708147,0.16146993318485522,0.37140902872777015,0.2774869109947644,0.2534090909090909,0.24267782426778242,0.25647451963241436,0.21875,0.25821596244131456,0.32737430167597764
mara1378,0.17729083665338646,0.09064327485380116,0.18733850129198967,0.16908212560386474,0.1516279069767442,0.16666666666666666,0.2222222222222222,0.14863387978142076,0.14906832298136646,0.16954314720812183,0.14357053682896379,0.13133208255159476,0.15088757396449703,0.23550087873462214,0.35207496653279785,0.23963133640552994,0.2213855421686747,0.1913978494623656,0.15881326352530542,0.36650485436893204,0.13013698630136986,0.23467862481315396,0.10613207547169812,0.34444444444444444,0.20638820638820637,0.19213483146067414,0.25559105431309903,0.15307262569832403,0.16369710467706014,0.15129449838187703,0.10692520775623268,0.12712623097582812,0.15812917594654788,0.12311901504787962,0.20593368237347295,0.24772727272727274,0.497907949790795,0.1570593149540518,0.2800925925925926,0.12910798122065728,0.2212290502793296
