branch,macroarea,in_branch_frac,repeat,model,f1
Oceanic,Papunesia,0.0,0,Freq,0.5074393108848865
Oceanic,Papunesia,0.0,0,T-CF,0.3155833985904464
Oceanic,Papunesia,0.0,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.0,1,T-CF,0.29522317932654657
Oceanic,Papunesia,0.0,2,Freq,0.5090054815974941
Oceanic,Papunesia,0.0,2,T-CF,0.2873923257635082
Oceanic,Papunesia,0.01,0,Freq,0.5074393108848865
Oceanic,Papunesia,0.01,0,T-CF,0.35630383711824587
Oceanic,Papunesia,0.01,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.01,1,T-CF,0.38292873923257637
Oceanic,Papunesia,0.01,2,Freq,0.5090054815974941
Oceanic,Papunesia,0.01,2,T-CF,0.36021926389976505
Oceanic,Papunesia,0.05,0,Freq,0.5168363351605325
Oceanic,Papunesia,0.05,0,T-CF,0.6006264682850431
Oceanic,Papunesia,0.05,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.05,1,T-CF,0.6006264682850431
Oceanic,Papunesia,0.05,2,Freq,0.5097885669537979
Oceanic,Papunesia,0.05,2,T-CF,0.601409553641347
Oceanic,Papunesia,0.1,0,Freq,0.519185591229444
Oceanic,Papunesia,0.1,0,T-CF,0.6335160532498042
Oceanic,Papunesia,0.1,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.1,1,T-CF,0.6233359436178544
Oceanic,Papunesia,0.1,2,Freq,0.5097885669537979
Oceanic,Papunesia,0.1,2,T-CF,0.620203602192639
Oceanic,Papunesia,0.2,0,Freq,0.519185591229444
Oceanic,Papunesia,0.2,0,T-CF,0.6609240407204385
Oceanic,Papunesia,0.2,1,Freq,0.5011746280344558
Oceanic,Papunesia,0.2,1,T-CF,0.6734534064212999
Oceanic,Papunesia,0.2,2,Freq,0.519185591229444
Oceanic,Papunesia,0.2,2,T-CF,0.6820673453406422
Slavic,Eurasia,0.0,0,Freq,0.5324232081911263
Slavic,Eurasia,0.0,0,T-CF,0.2696245733788396
Slavic,Eurasia,0.0,1,Freq,0.5290102389078498
Slavic,Eurasia,0.0,1,T-CF,0.36860068259385664
Slavic,Eurasia,0.0,2,Freq,0.515358361774744
Slavic,Eurasia,0.0,2,T-CF,0.3242320819112628
Slavic,Eurasia,0.01,0,Freq,0.5324232081911263
Slavic,Eurasia,0.01,0,T-CF,0.5699658703071673
Slavic,Eurasia,0.01,1,Freq,0.5290102389078498
Slavic,Eurasia,0.01,1,T-CF,0.5699658703071673
Slavic,Eurasia,0.01,2,Freq,0.515358361774744
Slavic,Eurasia,0.01,2,T-CF,0.5255972696245734
Slavic,Eurasia,0.05,0,Freq,0.5324232081911263
Slavic,Eurasia,0.05,0,T-CF,0.689419795221843
Slavic,Eurasia,0.05,1,Freq,0.5290102389078498
Slavic,Eurasia,0.05,1,T-CF,0.726962457337884
Slavic,Eurasia,0.05,2,Freq,0.515358361774744
Slavic,Eurasia,0.05,2,T-CF,0.5938566552901023
Slavic,Eurasia,0.1,0,Freq,0.5324232081911263
Slavic,Eurasia,0.1,0,T-CF,0.7201365187713311
Slavic,Eurasia,0.1,1,Freq,0.5290102389078498
Slavic,Eurasia,0.1,1,T-CF,0.7064846416382252
Slavic,Eurasia,0.1,2,Freq,0.515358361774744
Slavic,Eurasia,0.1,2,T-CF,0.6279863481228669
Slavic,Eurasia,0.2,0,Freq,0.5324232081911263
Slavic,Eurasia,0.2,0,T-CF,0.7372013651877133
Slavic,Eurasia,0.2,1,Freq,0.5290102389078498
Slavic,Eurasia,0.2,1,T-CF,0.7610921501706485
Slavic,Eurasia,0.2,2,Freq,0.515358361774744
Slavic,Eurasia,0.2,2,T-CF,0.6996587030716723
