branch,macroarea,in_branch_frac,repeat,model,f1
Oceanic,Papunesia,0.0,0,Freq,0.51933064050779
Oceanic,Papunesia,0.0,0,T-CF,0.2663012117714945
Oceanic,Papunesia,0.0,1,Freq,0.5144258511252164
Oceanic,Papunesia,0.0,1,T-CF,0.257934218118869
Oceanic,Papunesia,0.01,0,Freq,0.51933064050779
Oceanic,Papunesia,0.01,0,T-CF,0.27120600115406807
Oceanic,Papunesia,0.01,1,Freq,0.5144258511252164
Oceanic,Papunesia,0.01,1,T-CF,0.26341604154645126
Oceanic,Papunesia,0.05,0,Freq,0.51933064050779
Oceanic,Papunesia,0.05,0,T-CF,0.2660126947489902
Oceanic,Papunesia,0.05,1,Freq,0.5144258511252164
Oceanic,Papunesia,0.05,1,T-CF,0.27351413733410274
Oceanic,Papunesia,0.1,0,Freq,0.51933064050779
Oceanic,Papunesia,0.1,0,T-CF,0.26745527986151185
Oceanic,Papunesia,0.1,1,Freq,0.518465089440277
Oceanic,Papunesia,0.1,1,T-CF,0.26658972879399884
Oceanic,Papunesia,0.2,0,Freq,0.5253894979803808
Oceanic,Papunesia,0.2,0,T-CF,0.258799769186382
Oceanic,Papunesia,0.2,1,Freq,0.520196191575303
Oceanic,Papunesia,0.2,1,T-CF,0.24293133294864397
Slavic,Eurasia,0.0,0,Freq,0.5153374233128835
Slavic,Eurasia,0.0,0,T-CF,0.2822085889570552
Slavic,Eurasia,0.0,1,Freq,0.5153374233128835
Slavic,Eurasia,0.0,1,T-CF,0.2842535787321063
Slavic,Eurasia,0.01,0,Freq,0.5153374233128835
Slavic,Eurasia,0.01,0,T-CF,0.26380368098159507
Slavic,Eurasia,0.01,1,Freq,0.5153374233128835
Slavic,Eurasia,0.01,1,T-CF,0.2822085889570552
Slavic,Eurasia,0.05,0,Freq,0.5153374233128835
Slavic,Eurasia,0.05,0,T-CF,0.27607361963190186
Slavic,Eurasia,0.05,1,Freq,0.5153374233128835
Slavic,Eurasia,0.05,1,T-CF,0.310838445807771
Slavic,Eurasia,0.1,0,Freq,0.5153374233128835
Slavic,Eurasia,0.1,0,T-CF,0.27607361963190186
Slavic,Eurasia,0.1,1,Freq,0.5153374233128835
Slavic,Eurasia,0.1,1,T-CF,0.294478527607362
Slavic,Eurasia,0.2,0,Freq,0.5153374233128835
Slavic,Eurasia,0.2,0,T-CF,0.32719836400818
Slavic,Eurasia,0.2,1,Freq,0.5153374233128835
Slavic,Eurasia,0.2,1,T-CF,0.28629856850715746
