branch,macroarea,in_branch_frac,repeat,model,f1
Oceanic,Papunesia,0.0,0,Freq,0.5074393108848865
Oceanic,Papunesia,0.0,0,T-CF,0.32967893500391543
Oceanic,Papunesia,0.0,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.0,1,T-CF,0.2701644479248238
Oceanic,Papunesia,0.01,0,Freq,0.5074393108848865
Oceanic,Papunesia,0.01,0,T-CF,0.346123727486296
Oceanic,Papunesia,0.01,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.01,1,T-CF,0.38057948316366486
Oceanic,Papunesia,0.05,0,Freq,0.5168363351605325
Oceanic,Papunesia,0.05,0,T-CF,0.6147220046985121
Oceanic,Papunesia,0.05,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.05,1,T-CF,0.5951448707909162
Oceanic,Papunesia,0.1,0,Freq,0.519185591229444
Oceanic,Papunesia,0.1,0,T-CF,0.6303837118245889
Oceanic,Papunesia,0.1,1,Freq,0.5003915426781519
Oceanic,Papunesia,0.1,1,T-CF,0.6335160532498042
Oceanic,Papunesia,0.2,0,Freq,0.519185591229444
Oceanic,Papunesia,0.2,0,T-CF,0.6593578700078309
Oceanic,Papunesia,0.2,1,Freq,0.5011746280344558
Oceanic,Papunesia,0.2,1,T-CF,0.6789350039154268
Slavic,Eurasia,0.0,0,Freq,0.5324232081911263
Slavic,Eurasia,0.0,0,T-CF,0.23208191126279865
Slavic,Eurasia,0.0,1,Freq,0.5290102389078498
Slavic,Eurasia,0.0,1,T-CF,0.378839590443686
Slavic,Eurasia,0.01,0,Freq,0.5324232081911263
Slavic,Eurasia,0.01,0,T-CF,0.6006825938566553
Slavic,Eurasia,0.01,1,Freq,0.5290102389078498
Slavic,Eurasia,0.01,1,T-CF,0.5631399317406144
Slavic,Eurasia,0.05,0,Freq,0.5324232081911263
Slavic,Eurasia,0.05,0,T-CF,0.689419795221843
Slavic,Eurasia,0.05,1,Freq,0.5290102389078498
Slavic,Eurasia,0.05,1,T-CF,0.7167235494880546
Slavic,Eurasia,0.1,0,Freq,0.5324232081911263
Slavic,Eurasia,0.1,0,T-CF,0.7098976109215017
Slavic,Eurasia,0.1,1,Freq,0.5290102389078498
Slavic,Eurasia,0.1,1,T-CF,0.6962457337883959
Slavic,Eurasia,0.2,0,Freq,0.5324232081911263
Slavic,Eurasia,0.2,0,T-CF,0.7440273037542662
Slavic,Eurasia,0.2,1,Freq,0.5290102389078498
Slavic,Eurasia,0.2,1,T-CF,0.726962457337884
