wals_code	name	latitude	longitude	genus	family	countrycodes	features
cub	Cubeo	1.33333333333	-70.5	Tucanoan	Tucanoan	US	absence_of_common_consonants=4 No nasals|alignment_of_verbal_person_marking=2 Accusative|consonant-vowel_ratio=1 Low|consonant_inventories=1 Small|distance_contrasts_in_demonstratives=2 -|expression_of_pronominal_subjects=2 Subject affixes on verb|finger_and_hand=2 Different|fixed_stress_locations=1 No fixed stress|front_rounded_vowels=1 None|gender_distinctions_in_independent_personal_pronouns=3 3rd person singular only|glottalized_consonants=1 -|hand_and_arm=2 Different|intensifiers_and_reflexive_pronouns=2 Differentiated|lateral_consonants=1 No laterals|minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=1 Negative affix|order_of_adjective_and_noun=1 Adjective-Noun|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_degree_word_and_adjective=3 No dominant order|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=4 [V-Neg]|order_of_numeral_and_noun=1 Numeral-Noun|order_of_object_and_verb=1 OV|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_subject,_object_and_verb=5 OVS|order_of_subject_and_verb=2 VS|passive_constructions=1 Present|person_marking_on_adpositions=2 -|polar_questions=2 Interrogative verb morphology|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|position_of_polar_question_particles=6 No question particle|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|postnominal_relative_clauses=1 -|postverbal_negative_morphemes=2 [V-Neg]|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|presence_of_uncommon_consonants=1 -|preverbal_negative_morphemes=4 None|pronominal_and_adnominal_demonstratives=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=1 OV and AdjN|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|rhythm_types=1 -|syllable_structure=1 Simple|the_position_of_negative_morphemes_in_object-initial_languages=4 O[V-Neg]S|third_person_pronouns_and_demonstratives=2 Related for all demonstratives|third_person_zero_of_verbal_person_marking=2 No zero realization|tone=2 Simple tone system|uvular_consonants=1 None|verbal_person_marking=5 -|voicing_and_gaps_in_plosive_systems=4 Missing /g/|voicing_in_plosives_and_fricatives=2 In plosives alone|vowel_quality_inventories=2 -|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 -
des	Desano	0.833333333333	-69.8333333333	Tucanoan	Tucanoan	US	coding_of_nominal_plurality=2 Plural suffix|comitatives_and_instrumentals=2 Differentiation|expression_of_pronominal_subjects=2 -|finger_and_hand=2 -|fixed_stress_locations=1 No fixed stress|hand_and_arm=2 Different|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=1 Negative affix|negsov_order=4 No NegSOV|order_of_adjective_and_noun=1 Adjective-Noun|order_of_adposition_and_noun_phrase=2 -|order_of_adverbial_subordinator_and_clause=2 Final subordinator word|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_genitive_and_noun=1 Genitive-Noun|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=3 No dominant order|order_of_object_and_verb=1 OV|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 SV|polar_questions=2 Interrogative verb morphology|position_of_case_affixes=9 -|position_of_interrogative_phrases_in_content_questions=1 Initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|position_of_polar_question_particles=6 No question particle|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|postnominal_relative_clauses=1 Noun-Relative clause (NRel) dominant|postverbal_negative_morphemes=4 -|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|preverbal_negative_morphemes=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|snegov_order=4 -|sonegv_order=8 No SONegV|sovneg_order=2 Suffix&NoDoubleNeg|the_associative_plural=2 Unique affixal associative plural|the_morphological_imperative=4 Second person number-neutral|the_position_of_negative_morphemes_in_sov_languages=6 -|the_prohibitive=3 Special imperative + normal negative|weight-sensitive_stress=7 Not predictable|weight_factors_in_weight-sensitive_stress_systems=6 Lexical stress
dhb	Dharumbal	-22.75	150.5	Northern Pama-Nyungan	Pama-Nyungan	US	'want'_complement_subjects=1 -|ditransitive_constructions:_the_verb_'give'=2 Double-object construction|order_of_genitive_and_noun=1 -|order_of_object_and_verb=1 OV|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 SV|position_of_case_affixes=1 Case suffixes|position_of_interrogative_phrases_in_content_questions=2 -|position_of_tense-aspect_affixes=2 Tense-aspect suffixes
din	Dinka	8.5	28.0	Nilotic	Eastern Sudanic	US	absence_of_common_consonants=1 -|coding_of_nominal_plurality=3 Plural stem change|consonant-vowel_ratio=3 -|consonant_inventories=3 -|definite_articles=1 -|expression_of_pronominal_subjects=2 -|front_rounded_vowels=1 None|glottalized_consonants=1 No glottalized consonants|languages_with_different_word_order_in_negative_clauses=2 -|languages_with_two_dominant_orders_of_subject,_object,_and_verb=1 -|lateral_consonants=2 /l/, no obstruent laterals|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 -|negsov_order=4 No NegSOV|nominal_and_locational_predication=1 Different|noun_phrase_conjunction=2 'And' identical to 'with'|order_of_adjective_and_noun=2 Noun-Adjective|order_of_adposition_and_noun_phrase=2 -|order_of_adverbial_subordinator_and_clause=1 -|order_of_degree_word_and_adjective=2 Adjective-Degree word|order_of_demonstrative_and_noun=4 Demonstrative suffix|order_of_genitive_and_noun=2 Noun-Genitive|order_of_negative_morpheme_and_verb=1 NegV|order_of_numeral_and_noun=1 -|order_of_object,_oblique,_and_verb=6 No dominant order|order_of_object_and_verb=2 -|order_of_relative_clause_and_noun=1 Noun-Relative clause|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 SV|polar_questions=5 Absence of declarative morphemes|position_of_interrogative_phrases_in_content_questions=2 -|position_of_negative_word_with_respect_to_subject,_object,_and_verb=6 SNegOV|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 -|position_of_polar_question_particles=2 -|position_of_pronominal_possessive_affixes=2 -|position_of_tense-aspect_affixes=2 -|postnominal_relative_clauses=1 -|postverbal_negative_morphemes=4 None|predicative_adjectives=1 Verbal encoding|predicative_possession=5 'Have'|prefixing_vs._suffixing_in_inflectional_morphology=2 -|presence_of_uncommon_consonants=1 None|preverbal_negative_morphemes=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=5 Other|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=5 Other|snegov_order=4 -|sonegv_order=8 No SONegV|sovneg_order=11 -|syllable_structure=2 -|tea=1 Words derived from Sinitic cha|the_position_of_negative_morphemes_in_sov_languages=12 SVO/SOV but SNegOV|tone=3 Complex tone system|uvular_consonants=1 None|voicing_and_gaps_in_plosive_systems=2 None missing in /p t k b d g/|voicing_in_plosives_and_fricatives=2 In plosives alone|vowel_quality_inventories=2 -|zero_copula_for_predicate_nominals=1 -
dja	Djabugay	-16.75	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	US	cultural_categories_of_languages_with_identity_of_'finger'_and_'hand'=1 -|ditransitive_constructions:_the_verb_'give'=1 -|finger_and_hand=2 -|hand_and_arm=2 -|inclusive/exclusive_forms_in_pama-nyungan=2 -|indefinite_pronouns=1 -|minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 Negative particle|nominal_and_verbal_conjunction=2 Differentiation|occurrence_of_nominal_plurality=6 -|order_of_demonstrative_and_noun=6 Mixed|order_of_negative_morpheme_and_verb=1 NegV|order_of_object_and_verb=1 OV|order_of_subject,_object_and_verb=1 SOV|order_of_subject_and_verb=1 -|position_of_case_affixes=1 Case suffixes|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|postverbal_negative_morphemes=4 None|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|preverbal_negative_morphemes=1 NegV|sovneg_order=11 -|the_morphological_imperative=4 Second person number-neutral|the_position_of_negative_morphemes_in_sov_languages=6 -|the_prohibitive=1 Normal imperative + normal negative
dmi	Dumi	27.25	86.6666666667	Mahakiranti	Sino-Tibetan	US	coding_of_evidentiality=1 -|comitatives_and_instrumentals=2 Differentiation|definite_articles=5 No definite or indefinite article|indefinite_articles=5 No definite or indefinite article|minor_morphological_means_of_signaling_negation=4 None|multiple_negative_constructions_in_sov_languages=26 SV & OV & [Neg-V]/[V-Neg]|negative_morphemes=2 -|nominal_and_locational_predication=1 Different|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=1 Postpositions|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_genitive_and_noun=1 Genitive-Noun|order_of_negative_morpheme_and_verb=11 Type 3 / Type 4|order_of_numeral_and_noun=1 -|order_of_object_and_verb=1 OV|order_of_subject_and_verb=1 SV|ordinal_numerals=6 -|politeness_distinctions_in_pronouns=1 No politeness distinction|position_of_case_affixes=6 Postpositional clitics|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 MorphNeg|position_of_pronominal_possessive_affixes=1 Possessive prefixes|position_of_tense-aspect_affixes=2 Tense-aspect suffixes|postverbal_negative_morphemes=2 [V-Neg]|predicative_adjectives=3 Mixed|preverbal_negative_morphemes=2 [Neg-V]|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adposition_and_noun_phrase=1 OV and Postpositions|semantic_distinctions_of_evidentiality=2 Indirect only|the_morphological_imperative=1 Second singular and second plural|the_optative=1 Inflectional optative present|the_position_of_negative_morphemes_in_sov_languages=15 More than one construction|the_prohibitive=3 Special imperative + normal negative|third_person_pronouns_and_demonstratives=1 -|zero_copula_for_predicate_nominals=1 -
dyi	Dyirbal	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	US	absence_of_common_consonants=1 -|adjectives_without_nouns=2 -|antipassive_constructions=2 Oblique patient|applicative_constructions=8 -|asymmetrical_case-marking=5 Qualitatively asymmetrical|coding_of_evidentiality=1 -|consonant-vowel_ratio=3 -|consonant_inventories=3 -|distance_contrasts_in_demonstratives=2 -|ditransitive_constructions:_the_verb_'give'=4 Mixed|fixed_stress_locations=1 -|front_rounded_vowels=1 -|glottalized_consonants=1 -|inclusive/exclusive_forms_in_pama-nyungan=2 -|indefinite_pronouns=1 -|lateral_consonants=2 /l/, no obstruent laterals|locus_of_marking:_whole-language_typology=5 -|locus_of_marking_in_possessive_noun_phrases=2 -|locus_of_marking_in_the_clause=1 -|m-t_pronouns=1 -|m_in_first_person_singular=1 No m in first person singular|m_in_second_person_singular=1 No m in second person singular|minor_morphological_means_of_signaling_negation=4 -|n-m_pronouns=1 -|negative_morphemes=2 -|nominal_and_locational_predication=1 Different|noun_phrase_conjunction=1 'And' different from 'with'|number_of_cases=1 -|number_of_genders=1 -|number_of_possessive_nouns=1 -|numeral_classifiers=1 Absent|obligatory_possessive_inflection=2 -|occurrence_of_nominal_plurality=6 -|order_of_adjective_and_noun=2 -|order_of_adposition_and_noun_phrase=2 -|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_genitive_and_noun=1 -|order_of_negative_morpheme_and_verb=1 -|order_of_numeral_and_noun=2 Noun-Numeral|order_of_object,_oblique,_and_verb=1 -|order_of_object_and_verb=2 -|order_of_relative_clause_and_noun=1 -|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 -|other_roles_of_applied_objects=5 -|polar_questions=1 -|politeness_distinctions_in_pronouns=1 -|position_of_case_affixes=1 Case suffixes|position_of_interrogative_phrases_in_content_questions=2 -|position_of_negative_word_with_respect_to_subject,_object,_and_verb=21 Other|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|position_of_polar_question_particles=2 -|position_of_tense-aspect_affixes=2 -|possessive_classification=2 Two classes|postnominal_relative_clauses=1 -|postverbal_negative_morphemes=4 None|predicative_adjectives=1 -|predicative_possession=5 -|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|presence_of_uncommon_consonants=1 None|preverbal_negative_morphemes=1 -|productivity_of_the_antipassive_construction=4 -|pronominal_and_adnominal_demonstratives=1 Identical|reduplication=1 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=4 -|relationship_between_the_order_of_object_and_verb_and_the_order_of_relative_clause_and_noun=4 -|rhythm_types=1 -|semantic_distinctions_of_evidentiality=2 -|sex-based_and_non-sex-based_gender_systems=1 -|syllable_structure=2 -|systems_of_gender_assignment=2 Semantic|the_associative_plural=1 -|the_morphological_imperative=1 -|the_position_of_negative_morphemes_in_sov_languages=6 -|the_prohibitive=2 -|tone=1 -|uvular_consonants=1 -|voicing_and_gaps_in_plosive_systems=2 -|voicing_in_plosives_and_fricatives=4 -|vowel_quality_inventories=2 -|weight-sensitive_stress=8 -|weight_factors_in_weight-sensitive_stress_systems=1 -|zero_copula_for_predicate_nominals=1 -|zero_marking_of_a_and_p_arguments=2 -
gny	Gunya	-26.5	146.5	Northern Pama-Nyungan	Pama-Nyungan	US	coding_of_evidentiality=2 Verbal affix or clitic|hand_and_arm=2 Different|inclusive/exclusive_forms_in_pama-nyungan=1 No inclusive/exclusive opposition|semantic_distinctions_of_evidentiality=2 -
grs	Garus	-4.95	145.666666667	Madang	Trans-New Guinea	US	minor_morphological_means_of_signaling_negation=4 -|negative_morphemes=2 -|order_of_negative_morpheme_and_verb=1 NegV|position_of_pronominal_possessive_affixes=2 -|position_of_tense-aspect_affixes=2 -|postverbal_negative_morphemes=4 -|preverbal_negative_morphemes=1 -
guu	Guugu Yimidhirr	-15.0	144.833333333	Northern Pama-Nyungan	Pama-Nyungan	US	'want'_complement_subjects=1 -|alignment_of_verbal_person_marking=1 Neutral|coding_of_evidentiality=1 No grammatical evidentials|coding_of_nominal_plurality=2 -|comitatives_and_instrumentals=2 Differentiation|distance_contrasts_in_demonstratives=2 Two-way contrast|ditransitive_constructions:_the_verb_'give'=1 Indirect-object construction|expression_of_pronominal_subjects=2 -|finger_and_hand=2 Different|fixed_stress_locations=2 Initial|gender_distinctions_in_independent_personal_pronouns=6 -|hand_and_arm=2 -|inclusive/exclusive_forms_in_pama-nyungan=2 -|indefinite_pronouns=1 Interrogative-based|minor_morphological_means_of_signaling_negation=4 None|negative_morphemes=2 -|negsov_order=4 No NegSOV|nominal_and_locational_predication=1 -|nonperiphrastic_causative_constructions=2 -|number_of_genders=1 None|order_of_adjective_and_noun=2 Noun-Adjective|order_of_degree_word_and_adjective=1 Degree word-Adjective|order_of_demonstrative_and_noun=1 Demonstrative-Noun|order_of_genitive_and_noun=3 No dominant order|order_of_negative_morpheme_and_verb=1 NegV|order_of_numeral_and_noun=1 -|order_of_object_and_verb=1 OV|order_of_person_markers_on_the_verb=1 A and P do not or do not both occur on the verb|order_of_subject,_object_and_verb=2 -|order_of_subject_and_verb=1 SV|passive_constructions=1 -|person_marking_on_adpositions=2 -|plurality_in_independent_personal_pronouns=4 Person-number stem|position_of_case_affixes=1 Case suffixes|position_of_interrogative_phrases_in_content_questions=2 Not initial interrogative phrase|position_of_negative_word_with_respect_to_subject,_object,_and_verb=20 -|position_of_negative_words_relative_to_beginning_and_end_of_clause_and_with_respect_to_adjacency_to_verb=3 Immed preverbal|position_of_pronominal_possessive_affixes=4 No possessive affixes|position_of_tense-aspect_affixes=2 -|postverbal_negative_morphemes=4 None|predicative_adjectives=2 Nonverbal encoding|prefixing_vs._suffixing_in_inflectional_morphology=2 Strongly suffixing|preverbal_negative_morphemes=1 -|pronominal_and_adnominal_demonstratives=1 Identical|purpose_clauses=3 Deranked|relationship_between_the_order_of_object_and_verb_and_the_order_of_adjective_and_noun=2 OV and NAdj|rhythm_types=1 Trochaic|semantic_distinctions_of_evidentiality=1 No grammatical evidentials|sex-based_and_non-sex-based_gender_systems=1 -|snegov_order=4 No SNegOV|sonegv_order=1 Word&NoDoubleNeg|sovneg_order=11 -|systems_of_gender_assignment=1 No gender|the_position_of_negative_morphemes_in_sov_languages=3 SONegV|third_person_pronouns_and_demonstratives=6 Related for non-human reference|third_person_zero_of_verbal_person_marking=1 No person marking|verbal_person_marking=1 No person marking|weight-sensitive_stress=8 Fixed stress (no weight-sensitivity)|weight_factors_in_weight-sensitive_stress_systems=1 -|zero_copula_for_predicate_nominals=1 -
