group,kind,wals,view,n_members,n_langs_observed,pct_zero,pct_one,pct_multi,max_active,n_multi
basic_order,exclusive,81A,wals,6,1250,0.0,94.39999999999999,5.6000000000000005,2,70
subj_verb,exclusive,82A,wals,2,1473,0.0,91.51391717583164,8.486082824168365,2,125
obj_verb,exclusive,83A,wals,2,1492,0.0,93.09651474530831,6.90348525469169,2,103
subj_obj,exclusive,,wals,2,1250,0.0,97.92,2.08,2,26
oblique_order,exclusive,84A,wals,5,275,0.0,99.63636363636364,0.36363636363636365,2,1
oblique_v,exclusive,,wals,2,275,0.0,100.0,0.0,1,0
oblique_o,exclusive,,wals,2,275,0.0,99.63636363636364,0.36363636363636365,2,1
adposition,exclusive,85A,wals,2,1175,2.6382978723404253,92.34042553191489,5.0212765957446805,2,59
possessor,exclusive,86A,wals,2,1246,0.0,92.21508828250401,7.784911717495987,2,97
adjective,exclusive,87A,wals,2,1345,0.0,92.34200743494424,7.657992565055761,2,103
demonstrative_word,exclusive,88A,wals,2,1154,3.2062391681109186,95.32062391681109,1.4731369150779896,2,17
numeral,exclusive,89A,wals,2,1155,0.0,94.28571428571428,5.714285714285714,2,66
relative,exclusive,90A,wals,3,801,0.0,93.63295880149812,6.367041198501873,2,51
degree_word,exclusive,91A,wals,2,494,0.0,86.8421052631579,13.157894736842104,2,65
article_word,exclusive,,wals,2,0,,,,0,0
subordinator,exclusive,94A,wals,3,571,0.0,99.82486865148861,0.17513134851138354,2,1
complementizer,exclusive,,wals,2,0,,,,0,0
polarq_pos,exclusive,92A,wals,3,862,41.53132250580047,58.23665893271461,0.23201856148491878,2,2
possessive_affix,exclusive,,wals,2,901,29.3007769145394,67.14761376248613,3.551609322974473,2,32
demonstrative_affix,exclusive,,wals,2,1154,96.79376083188909,3.2062391681109186,0.0,1,0
case_affix,exclusive,51A,wals,4,1009,38.553022794846385,61.24876114965312,0.19821605550049554,2,2
plural_exponence,exclusive,33A/34A,wals,3,836,2.272727272727273,97.48803827751196,0.23923444976076555,2,2
tam_affix,exclusive,69A,wals,2,985,17.258883248730964,82.74111675126903,0.0,1,0
definite_exponence,exclusive,37A,wals,2,636,39.15094339622642,60.84905660377359,0.0,1,0
indefinite_exponence,exclusive,38A,wals,2,548,55.47445255474452,44.34306569343065,0.18248175182481752,2,1
prosubject_exponence,exclusive,101A,wals,3,689,0.0,100.0,0.0,1,0
negation_exponence,exclusive,112A,wals,2,1030,0.0,97.86407766990291,2.1359223300970873,2,22
negation_affix_pos,exclusive,,wals,2,1312,60.59451219512195,35.13719512195122,4.2682926829268295,2,56
negword_verb_pos,exclusive,143A,wals,2,1312,31.097560975609756,60.82317073170732,8.079268292682928,2,106
negword_subj_pos,exclusive,,wals,2,821,47.38124238733252,52.496954933008524,0.12180267965895249,2,1
negword_obj_pos,exclusive,,wals,2,821,47.38124238733252,52.61875761266748,0.0,1,0
negword_clause_pos,exclusive,,wals,2,973,83.65878725590956,16.34121274409044,0.0,1,0
negword_adjacency,exclusive,,wals,2,973,55.90955806783144,44.09044193216855,0.0,1,0
alignment,exclusive,98A/99A,wals,2,200,54.0,46.0,0.0,1,0
object_marking_locus,exclusive,23A,wals,2,248,18.548387096774192,57.66129032258065,23.790322580645164,2,59
possessive_marking_locus,exclusive,24A,wals,2,242,14.049586776859504,77.27272727272727,8.677685950413224,2,21
tendency_marking_locus,exclusive,25A,wals,2,250,54.0,40.0,6.0,2,15
tendency_affix,exclusive,26A,wals,2,977,14.943705220061412,69.9078812691914,15.148413510747186,2,148
vowel_quality_inventory,ordinal,2A,wals,8,0,,,,0,0
basic_order,exclusive,81A,sswl,6,219,0.91324200913242,54.337899543378995,44.74885844748858,6,98
subj_verb,exclusive,82A,sswl,2,224,0.0,70.53571428571429,29.464285714285715,2,66
obj_verb,exclusive,83A,sswl,2,216,0.4629629629629629,71.29629629629629,28.240740740740737,2,61
subj_obj,exclusive,,sswl,2,0,,,,0,0
oblique_order,exclusive,84A,sswl,5,0,,,,0,0
oblique_v,exclusive,,sswl,2,0,,,,0,0
oblique_o,exclusive,,sswl,2,0,,,,0,0
adposition,exclusive,85A,sswl,2,214,0.9345794392523363,78.03738317757009,21.02803738317757,2,45
possessor,exclusive,86A,sswl,2,221,0.904977375565611,79.18552036199095,19.90950226244344,2,44
adjective,exclusive,87A,sswl,2,217,0.0,72.35023041474655,27.64976958525346,2,60
demonstrative_word,exclusive,88A,sswl,2,216,0.4629629629629629,78.70370370370371,20.833333333333336,2,45
numeral,exclusive,89A,sswl,2,217,0.4608294930875576,78.3410138248848,21.19815668202765,2,46
relative,exclusive,90A,sswl,3,0,,,,0,0
degree_word,exclusive,91A,sswl,2,183,3.278688524590164,69.94535519125684,26.775956284153008,2,49
article_word,exclusive,,sswl,2,0,,,,0,0
subordinator,exclusive,94A,sswl,3,181,2.7624309392265194,86.74033149171271,10.497237569060774,2,19
complementizer,exclusive,,sswl,2,187,3.7433155080213902,90.37433155080214,5.88235294117647,2,11
polarq_pos,exclusive,92A,sswl,3,121,37.1900826446281,53.71900826446281,9.090909090909092,2,11
possessive_affix,exclusive,,sswl,2,0,,,,0,0
demonstrative_affix,exclusive,,sswl,2,0,,,,0,0
case_affix,exclusive,51A,sswl,4,0,,,,0,0
plural_exponence,exclusive,33A/34A,sswl,3,0,,,,0,0
tam_affix,exclusive,69A,sswl,2,0,,,,0,0
definite_exponence,exclusive,37A,sswl,2,0,,,,0,0
indefinite_exponence,exclusive,38A,sswl,2,0,,,,0,0
prosubject_exponence,exclusive,101A,sswl,3,0,,,,0,0
negation_exponence,exclusive,112A,sswl,2,0,,,,0,0
negation_affix_pos,exclusive,,sswl,2,177,69.49152542372882,27.683615819209038,2.824858757062147,2,5
negword_verb_pos,exclusive,143A,sswl,2,177,24.858757062146893,60.451977401129945,14.689265536723164,2,26
negword_subj_pos,exclusive,,sswl,2,0,,,,0,0
negword_obj_pos,exclusive,,sswl,2,0,,,,0,0
negword_clause_pos,exclusive,,sswl,2,0,,,,0,0
negword_adjacency,exclusive,,sswl,2,0,,,,0,0
