config,arm,protocol,seed,rho,p,n_pairs
A,mf_bin,cell,42,0.060716668485279374,0.7589060292601827,28
A,mf_bin,cell,43,-0.03397905300552331,0.8637111170054731,28
A,mf_bin,cell,44,-0.018103593814418163,0.9271469813585071,28
A,mf_bin,cell,45,0.01559694236319103,0.9372131259187528,28
A,mf_bin,cell,46,0.03899235590797758,0.8438308166823323,28
A,mf_cat,cell,42,0.28715084957946346,0.13844888660676336,28
A,mf_cat,cell,43,0.11502744992853385,0.5599890769060643,28
A,mf_cat,cell,44,0.21891422674050268,0.26304856488912953,28
A,mf_cat,cell,45,0.31193884726382065,0.10609736456257446,28
A,mf_cat,cell,46,0.2464873927040011,0.20607178344302587,28
A,mf_bin,group,42,0.029522783758897306,0.8814513096067039,28
A,mf_bin,group,43,-0.09413868783497444,0.6337291901853611,28
A,mf_bin,group,44,-0.021167278921473544,0.9148589519899268,28
A,mf_bin,group,45,-0.01949617795398879,0.9215593184828076,28
A,mf_bin,group,46,0.05375374778742623,0.7858786645347982,28
A,mf_cat,group,42,0.2857582654398928,0.14045736527622854,28
A,mf_cat,group,43,0.021724312577301792,0.9126267386150398,28
A,mf_cat,group,44,0.19997508244234213,0.30759706118832125,28
A,mf_cat,group,45,0.20582393582853878,0.2933662118191383,28
A,mf_cat,group,46,0.13563769519417912,0.49132975282466745,28
A_strict,mf_bin,cell,42,0.060716668485279374,0.7589060292601827,28
A_strict,mf_bin,cell,43,-0.03397905300552331,0.8637111170054731,28
A_strict,mf_bin,cell,44,-0.018103593814418163,0.9271469813585071,28
A_strict,mf_bin,cell,45,0.01559694236319103,0.9372131259187528,28
A_strict,mf_bin,cell,46,0.03899235590797758,0.8438308166823323,28
A_strict,mf_cat,cell,42,0.36040077532087844,0.05956668606547248,28
A_strict,mf_cat,cell,43,0.14232209906411813,0.4700162158480477,28
A_strict,mf_cat,cell,44,0.27211094087210064,0.16126632400599808,28
A_strict,mf_cat,cell,45,0.23172600082455244,0.235421388739058,28
A_strict,mf_cat,cell,46,0.20220321706565514,0.30212594577257657,28
B,mf_bin,group,42,-0.004734786074540134,0.9809228597246354,28
B,mf_bin,group,43,-0.10890007971442309,0.5812102770888393,28
B,mf_bin,group,44,-0.07046475746227376,0.7216098186046419,28
B,mf_bin,group,45,-0.034536086661351564,0.8614979539595234,28
B,mf_bin,group,46,0.008912538493252018,0.964098276510417,28
B,mf_cat,group,42,0.12366147159387174,0.5307016988836679,28
B,mf_cat,group,43,0.0016711009674847534,0.9932663630983737,28
B,mf_cat,group,44,-0.018382110642332285,0.9260291698778519,28
B,mf_cat,group,45,0.027851682791412553,0.8881188048999143,28
B,mf_cat,group,46,-0.06043815165736524,0.7599798795187347,28
B_strict,mf_bin,cell,42,0.06517293773190537,0.7417851519423739,28
B_strict,mf_bin,cell,43,-0.08411208203006593,0.6704411266724146,28
B_strict,mf_bin,cell,44,-0.04233455784294709,0.8306283412420993,28
B_strict,mf_bin,cell,45,-0.025902064996013677,0.895906944227412,28
B_strict,mf_bin,cell,46,-0.017546560158589908,0.9293830082151079,28
B_strict,mf_cat,cell,42,0.12783922401258363,0.5167983227874626,28
B_strict,mf_cat,cell,43,0.0707432742901879,0.7205528570735844,28
B_strict,mf_cat,cell,44,0.1735159837905002,0.3772229898894526,28
B_strict,mf_cat,cell,45,0.08355504837423766,0.6725035454518694,28
B_strict,mf_cat,cell,46,0.044005658810431836,0.8240437048094045,28
