config,protocol,arm,cell_F1_mean,cell_F1_std,group_acc_mean,group_acc_std,exact_profile_mean,exact_profile_std,validity_mean,validity_std
A,cell,knn_bin,0.824569,0.003522,0.898439,0.00386,0.877807,0.003904,0.949002,0.002119
A,cell,knn_cat,0.84973,0.004703,0.940264,0.002494,0.896736,0.003174,0.991779,0.000514
A,cell,mf_bin,0.890053,0.004667,0.932939,0.001757,0.918156,0.00216,0.941067,0.001978
A,cell,mf_cat,0.034424,0.004659,0.653917,0.009912,0.623905,0.009424,0.991779,0.000514
A,cell,softimpute_bin,0.916191,0.004121,0.961904,0.002533,0.940295,0.002046,0.96286,0.003274
A,cell,softimpute_cat,0.897974,0.005096,0.973019,0.001731,0.927755,0.003081,0.991779,0.000514
A,group,knn_bin,0.781072,0.004469,0.771041,0.00684,0.735009,0.005899,0.970534,0.001912
A,group,knn_cat,0.780926,0.003168,0.797585,0.004394,0.752198,0.003554,1.0,0.0
A,group,mf_bin,0.812681,0.00471,0.77643,0.005652,0.753207,0.006661,0.9175,0.002272
A,group,mf_cat,0.804931,0.004283,0.835222,0.003805,0.788299,0.004997,1.0,0.0
A,group,softimpute_bin,0.835521,0.00206,0.815602,0.00337,0.786551,0.002007,0.960877,0.002541
A,group,softimpute_cat,0.834824,0.003395,0.857479,0.003399,0.808933,0.003922,1.0,0.0
A_strict,cell,mf_bin,0.890053,0.004667,0.932939,0.001757,0.918156,0.00216,0.941067,0.001978
A_strict,cell,mf_cat,0.888196,0.006189,0.966356,0.00192,0.921683,0.003214,0.991779,0.000514
B,cell,knn_bin,0.82922,0.006139,0.899488,0.003987,0.880034,0.003973,0.947331,0.002841
B,cell,knn_cat,0.840056,0.006851,0.935312,0.004017,0.891964,0.0051,0.991779,0.000514
B,cell,softimpute_bin,0.916191,0.004121,0.961904,0.002533,0.940295,0.002046,0.96286,0.003274
B,cell,softimpute_cat,0.898097,0.005514,0.974124,0.002137,0.92863,0.003246,0.991779,0.000514
B,group,knn_bin,0.782595,0.001496,0.770182,0.003227,0.735644,0.00209,0.966332,0.002257
B,group,knn_cat,0.779965,0.00171,0.794592,0.000997,0.749576,0.001787,1.0,0.0
B,group,mf_bin,0.820375,0.003983,0.786674,0.005712,0.762662,0.005442,0.924625,0.002449
B,group,mf_cat,0.809101,0.002382,0.839352,0.002837,0.791794,0.002512,1.0,0.0
B,group,softimpute_bin,0.835521,0.00206,0.815602,0.00337,0.786551,0.002007,0.960877,0.002541
B,group,softimpute_cat,0.835062,0.003376,0.854628,0.002944,0.806152,0.003574,1.0,0.0
B_strict,cell,mf_bin,0.896969,0.005031,0.938716,0.00242,0.923697,0.002772,0.944147,0.002522
B_strict,cell,mf_cat,0.890718,0.004938,0.96832,0.001516,0.923141,0.002749,0.991779,0.000514
