sweep,protocol,seed,shrink,cell_F1,group_acc,exact_profile,validity,k,tau,arm,rank,l2,n_iter,loss_norm
softimpute,group,901,0.25,0.8356457623087291,0.816738019610551,0.7888888888888889,0.9601983557353516,,,,,,,
softimpute,group,902,0.25,0.8376567058266973,0.8154844051890698,0.78906973666799,0.9588933837922484,,,,,,,
softimpute,group,901,0.5,0.8396376350921806,0.8214335036597155,0.7933862433862434,0.9629387968158684,,,,,,,
softimpute,group,902,0.5,0.8404558404558404,0.8190725917747723,0.7919809448193728,0.9622863108443168,,,,,,,
softimpute,group,901,1.0,0.8392200735176603,0.8192238641071675,0.7908730158730158,0.9638522771760408,,,,,,,
softimpute,group,902,1.0,0.8388278388278388,0.815622412365443,0.7888050813815006,0.96359128278742,,,,,,,
softimpute,group,901,2.0,0.8363052208835342,0.813975970169866,0.7861111111111111,0.964374265953282,,,,,,,
softimpute,group,902,2.0,0.8357085668534828,0.8102401324868893,0.7836443032949583,0.9642437687589716,,,,,,,
softimpute,group,901,4.0,0.8306719623895599,0.8063803342079823,0.7776455026455027,0.9669842098394884,,,,,,,
softimpute,group,902,4.0,0.8293746970431412,0.8001656086116478,0.7746460235543206,0.9650267519248336,,,,,,,
softimpute,group,901,8.0,0.805599533372219,0.7751691755282419,0.7441798941798942,0.9736395667493148,,,,,,,
softimpute,group,902,8.0,0.80492471508194,0.7722881589842672,0.7427550615323542,0.9744225499151768,,,,,,,
knn,group,901,,0.7574507106831729,0.7385720204391658,0.7104497354497354,0.9434947148636303,5.0,,,,,,
knn,group,902,,0.7569745343975675,0.7339221639525255,0.7063649596400688,0.9369698551481144,5.0,,,,,,
knn,group,901,,0.7787418655097614,0.7632923629332965,0.7318783068783069,0.9540649876027666,10.0,,,,,,
knn,group,902,,0.7807314074984636,0.7613855920507866,0.7311102289268228,0.9506720605506982,10.0,,,,,,
knn,group,901,,0.7889431406520712,0.7771026101367214,0.7415343915343915,0.9668537126451782,25.0,,,,,,
knn,group,902,,0.7907521674607515,0.7735302235716257,0.7430197168188435,0.9624168080386272,25.0,,,,,,
knn,group,901,,0.7882549534495106,0.7771026101367214,0.7421957671957672,0.9705076340858672,50.0,,,,,,
knn,group,902,,0.7864920309294618,0.770494065691416,0.7370649728728331,0.9664622210622472,50.0,,,,,,
knn,group,901,,0.7847758579504738,0.7719928186714542,0.7380952380952381,0.9685501761712124,100.0,,,,,,
knn,group,902,,0.779526307423303,0.7627656638145184,0.7305809183538441,0.9668537126451782,100.0,,,,,,
knn,group,901,,0.76818218266378,0.7533489849468306,0.7194444444444444,0.9671147070337988,200.0,,,,,,
knn,group,902,,0.7669389716482461,0.7500690035881866,0.7173481540293767,0.9685501761712124,200.0,,,,,,
tau,group,901,0.5,0.8147764287829434,0.8218478110758183,0.7765873015873016,1.0,,0.15,,,,,
tau,group,902,0.5,0.8228006784160459,0.8303891802373723,0.7858938732301177,1.0,,0.15,,,,,
tau,group,901,0.5,0.8215513376176954,0.8370390829995857,0.7911375661375661,1.0,,0.2,,,,,
tau,group,902,0.5,0.829449862279461,0.8452939552856749,0.8001852587005426,1.0,,0.2,,,,,
tau,group,901,0.5,0.8257101951623841,0.8458776412097777,0.7996031746031746,1.0,,0.25,,,,,
tau,group,902,0.5,0.8338713309811575,0.854264421749931,0.8087865555114463,1.0,,0.25,,,,,
tau,group,901,0.5,0.8300967176909603,0.8523684573953874,0.8056878306878307,1.0,,0.3,,,,,
tau,group,902,0.5,0.8373361618304417,0.859094672922992,0.8132856953817652,1.0,,0.3,,,,,
tau,group,901,0.5,0.833795868023435,0.8567877365004833,0.8099206349206349,1.0,,0.35,,,,,
tau,group,902,0.5,0.8404752778842469,0.8610267733922164,0.8148736271007013,1.0,,0.35,,,,,
tau,group,901,0.5,0.8344412293735826,0.8534732771716613,0.8067460317460318,1.0,,0.4,,,,,
tau,group,902,0.5,0.8411563568542121,0.8588186585702456,0.8128887124520312,1.0,,0.4,,,,,
tau,group,901,0.5,0.8285667858303543,0.8346913409750034,0.7888888888888889,1.0,,0.5,,,,,
tau,group,902,0.5,0.8302436655063548,0.833287330941209,0.7888050813815006,1.0,,0.5,,,,,
tau,group,901,0.5,0.793793880558204,0.7771026101367214,0.7346560846560847,1.0,,0.6,,,,,
tau,group,902,0.5,0.7885031598995758,0.7677339221639525,0.7264787614132592,1.0,,0.6,,,,,
mf,group,901,,0.7769508510795078,0.7385720204391658,0.7129629629629629,0.9087824611770848,,,mf_bin,32.0,0.005,1200.0,sum
mf,group,901,,0.7793268119849034,0.8041706946554343,0.7601851851851852,1.0,,,mf_cat,32.0,0.005,1200.0,sum
mf,group,902,,0.7795840656121851,0.7328181065415401,0.7113934100833664,0.8982121884379486,,,mf_bin,32.0,0.005,1200.0,sum
mf,group,902,,0.7768404907975459,0.7978194866133039,0.7545322217811301,1.0,,,mf_cat,32.0,0.005,1200.0,sum
mf,group,901,,0.7839999999999999,0.7432675044883303,0.7193121693121693,0.9104789247031188,,,mf_bin,32.0,0.02,1200.0,sum
mf,group,901,,0.7802172405823896,0.8066565391520508,0.7623015873015873,1.0,,,mf_cat,32.0,0.02,1200.0,sum
mf,group,902,,0.782159970512348,0.7380623792437206,0.71602487759693,0.9066945060681196,,,mf_bin,32.0,0.02,1200.0,sum
mf,group,902,,0.782942169044332,0.8056858956665747,0.7623395527325658,1.0,,,mf_cat,32.0,0.02,1200.0,sum
mf,group,901,,0.7915861453842724,0.752520370114625,0.7273809523809524,0.9138718517551871,,,mf_bin,32.0,0.08,1200.0,sum
mf,group,901,,0.7872438761361886,0.8135616627537633,0.7690476190476191,1.0,,,mf_cat,32.0,0.08,1200.0,sum
mf,group,902,,0.7919929088491654,0.7492409605299476,0.727405054915972,0.9079994780112228,,,mf_bin,32.0,0.08,1200.0,sum
mf,group,902,,0.7867895545314901,0.8095500966050234,0.7667063649596401,1.0,,,mf_cat,32.0,0.08,1200.0,sum
mf,group,901,,0.8127579737335835,0.7754453804723105,0.7525132275132275,0.9158293096698421,,,mf_bin,64.0,0.005,1200.0,sum
mf,group,901,,0.80768933837721,0.8346913409750034,0.7895502645502646,1.0,,,mf_cat,64.0,0.005,1200.0,sum
mf,group,902,,0.8082418408783276,0.7671818934584599,0.7446076485377795,0.9190917395276001,,,mf_bin,64.0,0.005,1200.0,sum
mf,group,902,,0.8030976844042326,0.8296991443555065,0.7852322350138944,1.0,,,mf_cat,64.0,0.005,1200.0,sum
mf,group,901,,0.8155663234403393,0.7797265571053722,0.7564814814814815,0.9223541693853582,,,mf_bin,64.0,0.02,1200.0,sum
mf,group,901,,0.8118109629172771,0.8414583621046817,0.7957671957671958,1.0,,,mf_cat,64.0,0.02,1200.0,sum
mf,group,902,,0.8177213275875104,0.7793265249792989,0.7574434299325129,0.9233981469398408,,,mf_bin,64.0,0.02,1200.0,sum
mf,group,902,,0.8091954022988505,0.8381175821142699,0.7937012041815535,1.0,,,mf_cat,64.0,0.02,1200.0,sum
mf,group,901,,0.8225352112676056,0.7896699350918381,0.7657407407407407,0.9283570403236331,,,mf_bin,64.0,0.08,1200.0,sum
mf,group,901,,0.8132274724427657,0.8431155917690927,0.7973544973544974,1.0,,,mf_cat,64.0,0.08,1200.0,sum
mf,group,902,,0.8234847910187362,0.786640905327077,0.7648537779542146,0.9263995824089782,,,mf_bin,64.0,0.08,1200.0,sum
mf,group,902,,0.8191627764597842,0.8480540988131383,0.802434828635702,1.0,,,mf_cat,64.0,0.08,1200.0,sum
